Year,Quarter,    Gross domestic product,    Gross national product,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,"Population (midperiod, thousands)"
1955,Q2,18621,18769,12531,11135,3448,427,3760,7182,164864
1955,Q3,18787,18936,12705,11221,3480,439,3768,7223,165612
1955,Q4,18808,18960,12791,11307,3488,426,3826,7331,166419
1956,Q1,18658,18822,12866,11279,3458,404,3853,7371,167109
1956,Q2,18736,18898,12936,11271,3439,403,3828,7412,167788
1956,Q3,18632,18797,12942,11244,3409,394,3813,7455,168573
1956,Q4,18845,18993,13077,11342,3440,405,3824,7515,169416
1957,Q1,18881,19049,13060,11370,3457,411,3830,7511,170172
1957,Q2,18763,18940,13098,11343,3431,399,3829,7545,170869
1957,Q3,18862,19033,13106,11382,3444,395,3865,7565,171638
1957,Q4,18582,18724,12959,11335,3401,388,3822,7613,172417
1958,Q1,18032,18175,12797,11136,3308,361,3774,7573,173064
1958,Q2,18081,18226,12836,11185,3305,354,3793,7655,173729
1958,Q3,18419,18560,13062,11322,3353,360,3846,7727,174483
1958,Q4,18764,18903,13201,11423,3402,372,3881,7744,175288
1959,Q1,19041,19180,13221,11582,3466,390,3914,7807,176045
1959,Q2,19395,19534,13382,11716,3507,403,3932,7893,176727
1959,Q3,19326,19473,13307,11788,3520,409,3930,7966,177481
1959,Q4,19296,19449,13343,11749,3476,388,3937,8027,178268
1960,Q1,19614,19762,13418,11792,3490,398,3923,8052,179319
1960,Q2,19392,19542,13424,11869,3518,405,3943,8092,180401
1960,Q3,19390,19544,13382,11763,3478,399,3900,8042,181301
1960,Q4,19065,19226,13324,11732,3443,388,3887,8088,182019
1961,Q1,19130,19297,13405,11688,3399,365,3897,8140,182634
1961,Q2,19380,19540,13556,11816,3438,372,3934,8227,183337
1961,Q3,19670,19833,13679,11824,3445,379,3921,8218,184103
1961,Q4,19970,20136,13886,12011,3507,396,3957,8328,184894
1962,Q1,20254,20419,13973,12095,3536,403,3976,8376,185553
1962,Q2,20366,20544,14075,12201,3558,412,3978,8472,186203
1962,Q3,20536,20715,14096,12252,3571,414,3993,8511,186926
1962,Q4,20521,20721,14164,12375,3613,430,3999,8583,187680
1963,Q1,20677,20869,14240,12421,3634,437,4008,8593,188299
1963,Q2,20842,21028,14325,12498,3653,445,4009,8657,188906
1963,Q3,21219,21408,14426,12619,3675,449,4030,8774,189631
1963,Q4,21276,21469,14605,12675,3673,454,4010,8860,190362
1964,Q1,21657,21865,14844,12884,3747,470,4066,8973,190954
1964,Q2,21824,22024,15196,13070,3814,481,4130,9070,191560
1964,Q3,22085,22290,15339,13263,3888,495,4195,9157,192256
1964,Q4,22075,22267,15459,13254,3846,478,4189,9251,192938
1965,Q1,22547,22762,15598,13513,3961,521,4217,9332,193467
1965,Q2,22770,22990,15731,13625,3979,521,4246,9447,193994
1965,Q3,23198,23406,16107,13812,4046,537,4295,9544,194647
1965,Q4,23656,23848,16378,14155,4189,558,4440,9674,195279
1966,Q1,24172,24370,16499,14328,4257,583,4461,9751,195763
1966,Q2,24191,24388,16500,14327,4225,558,4492,9831,196277
1966,Q3,24321,24515,16650,14447,4272,575,4510,9881,196877
1966,Q4,24446,24646,16794,14462,4250,573,4484,9959,197481
1967,Q1,24602,24800,17005,14510,4251,560,4523,10025,197967
1967,Q2,24556,24750,17098,14672,4314,583,4546,10098,198455
1967,Q3,24719,24929,17212,14706,4290,577,4529,10207,199012
1967,Q4,24836,25040,17289,14755,4294,577,4536,10263,199572
1968,Q1,25288,25497,17540,15076,4422,611,4616,10404,199995
1968,Q2,25652,25865,17788,15271,4478,623,4662,10541,200452
1968,Q3,25781,25998,17797,15515,4575,649,4723,10647,200997
1968,Q4,25813,26028,17886,15543,4555,643,4712,10735,201538
1969,Q1,26162,26379,17894,15683,4607,654,4754,10806,201955
1969,Q2,26181,26391,18028,15748,4599,651,4754,10915,202419
1969,Q3,26281,26482,18344,15780,4595,647,4758,10972,202986
1969,Q4,26076,26276,18430,15860,4598,643,4776,11076,203584
1970,Q1,25973,26177,18577,15919,4594,632,4805,11168,204086
1970,Q2,25929,26138,18748,15942,4593,637,4787,11202,204721
1970,Q3,26079,26286,18983,16027,4605,637,4805,11290,205419
1970,Q4,25710,25902,18872,15928,4540,593,4844,11309,206130
1971,Q1,26328,26548,19190,16184,4671,654,4849,11352,206763
1971,Q2,26394,26624,19413,16286,4696,667,4846,11434,207362
1971,Q3,26529,26740,19455,16365,4712,683,4822,11507,208000
1971,Q4,26510,26730,19621,16585,4780,710,4840,11651,208642
1972,Q1,26932,27160,19664,16764,4813,724,4844,11818,209142
1972,Q2,27478,27704,19821,17043,4928,741,4963,11933,209637
1972,Q3,27666,27907,20154,17261,5001,758,5018,12063,210181
1972,Q4,28055,28295,20907,17619,5134,796,5100,12246,210737
1973,Q1,28687,28958,21020,17902,5246,845,5119,12376,211192
1973,Q2,28935,29221,21150,17854,5183,833,5065,12454,211663
1973,Q3,28711,29037,21193,17873,5172,823,5076,12505,212191
1973,Q4,28913,29241,21373,17776,5109,802,5044,12520,212708
1974,Q1,28606,28983,20975,17581,5015,782,4966,12472,213144
1974,Q2,28613,28971,20735,17606,4988,784,4922,12570,213602
1974,Q3,28270,28598,20701,17637,4992,787,4920,12604,214147
1974,Q4,28088,28374,20620,17335,4777,710,4820,12701,214700
1975,Q1,27690,27935,20548,17445,4802,724,4820,12793,215135
1975,Q2,27821,28067,21447,17689,4893,736,4915,12915,215652
1975,Q3,28214,28477,21073,17888,4999,780,4948,12938,216289
1975,Q4,28520,28827,21182,18033,5020,800,4923,13090,216848
1976,Q1,29099,29398,21392,18354,5155,839,5012,13214,217314
1976,Q2,29250,29560,21468,18484,5207,841,5078,13274,217776
1976,Q3,29335,29646,21580,18631,5239,848,5104,13400,218338
1976,Q4,29469,29786,21659,18822,5289,859,5144,13548,218917
1977,Q1,29749,30106,21658,19000,5335,889,5129,13682,219427
1977,Q2,30254,30604,21809,19057,5362,908,5116,13699,219956
1977,Q3,30713,31060,22050,19183,5390,919,5127,13807,220573
1977,Q4,30626,30938,22408,19417,5489,936,5222,13898,221201
1978,Q1,30653,31007,22530,19480,5446,909,5232,14082,221719
1978,Q2,31757,32058,22711,19846,5588,974,5259,14258,222281
1978,Q3,31982,32308,22821,19871,5576,958,5285,14318,222933
1978,Q4,32318,32686,22904,19973,5622,963,5337,14352,223583
1979,Q1,32294,32669,23120,20026,5604,949,5347,14465,224152
1979,Q2,32244,32659,22851,19961,5542,925,5323,14516,224737
1979,Q3,32386,32873,22889,20094,5617,948,5369,14526,225418
1979,Q4,32366,32848,22865,20082,5576,921,5381,14603,226117
1980,Q1,32377,32866,22887,19997,5532,904,5363,14586,226754
1980,Q2,31621,32074,22623,19492,5290,804,5276,14454,227389
1980,Q3,31489,31917,22802,19647,5328,837,5247,14577,228070
1980,Q4,31990,32344,23045,19858,5374,860,5253,14760,228689
1981,Q1,32550,32925,22956,19884,5440,883,5289,14645,229155
1981,Q2,32236,32590,22924,19841,5384,847,5300,14712,229674
1981,Q3,32533,32907,23351,19878,5424,870,5298,14674,230301
1981,Q4,32095,32508,23307,19691,5313,806,5304,14667,230903
1982,Q1,31529,31921,23312,19794,5355,830,5303,14713,231395
1982,Q2,31603,32038,23406,19810,5342,831,5282,14762,231906
1982,Q3,31402,31775,23466,19892,5357,835,5291,14838,232498
1982,Q4,31337,31697,23494,20191,5451,871,5332,15031,233074
1983,Q1,31686,32041,23681,20349,5469,878,5338,15200,233546
1983,Q2,32340,32717,23801,20721,5618,941,5390,15375,234028
1983,Q3,32906,33289,24096,21041,5729,974,5459,15564,234603
1983,Q4,33513,33909,24562,21326,5850,1020,5512,15688,235153
1984,Q1,34103,34472,24984,21462,5918,1056,5516,15727,235605
1984,Q2,34622,34993,25335,21718,6038,1079,5625,15819,236082
1984,Q3,34871,35238,25604,21826,6027,1076,5615,15978,236657
1984,Q4,35072,35402,25753,22055,6106,1109,5645,16115,237232
1985,Q1,35346,35611,25643,22389,6189,1145,5669,16377,237673
1985,Q2,35582,35859,26100,22546,6232,1156,5701,16492,238176
1985,Q3,36033,36266,25961,22916,6382,1227,5733,16671,238789
1985,Q4,36210,36466,26181,22908,6328,1182,5770,16763,239387
1986,Q1,36476,36705,26483,23063,6411,1204,5831,16799,239861
1986,Q2,36563,36735,26759,23265,6512,1244,5871,16865,240368
1986,Q3,36822,37011,26842,23618,6697,1346,5869,16964,240962
1986,Q4,36931,37068,26782,23706,6677,1322,5902,17109,241539
1987,Q1,37132,37284,26927,23682,6527,1241,5898,17351,242009
1987,Q2,37454,37632,26592,23954,6638,1289,5931,17486,242520
1987,Q3,37685,37859,27003,24168,6721,1339,5921,17598,243120
1987,Q4,38238,38424,27325,24159,6645,1300,5914,17727,243721
1988,Q1,38359,38584,27719,24537,6788,1358,5966,17933,244208
1988,Q2,38782,38989,27978,24667,6809,1356,6001,18054,244716
1988,Q3,38908,39093,28189,24821,6790,1335,6026,18278,245354
1988,Q4,39328,39529,28387,25041,6881,1366,6074,18385,245966
1989,Q1,39648,39844,28637,25107,6877,1357,6089,18473,246460
1989,Q2,39861,40048,28478,25167,6900,1372,6085,18506,247017
1989,Q3,40046,40249,28587,25341,6980,1400,6129,18576,247698
1989,Q4,40015,40261,28754,25382,6938,1353,6181,18700,248374
1990,Q1,40361,40594,28919,25538,7015,1407,6159,18754,248936
1990,Q2,40382,40625,29042,25536,6918,1357,6147,18923,249711
1990,Q3,40266,40474,28943,25547,6878,1338,6135,19007,250595
1990,Q4,39759,40115,28611,25263,6745,1297,6052,18895,251482
1991,Q1,39451,39728,28610,25090,6667,1257,6037,18823,252258
1991,Q2,39632,39835,28734,25218,6683,1259,6053,18949,253063
1991,Q3,39691,39869,28742,25254,6699,1274,6041,18964,253965
1991,Q4,39694,39922,28868,25155,6602,1249,5969,19012,254835
1992,Q1,40051,40275,29339,25551,6732,1294,6040,19266,255585
1992,Q2,40350,40569,29516,25638,6744,1299,6045,19352,256439
1992,Q3,40599,40800,29534,25818,6793,1322,6059,19485,257386
1992,Q4,40881,41087,29563,26035,6859,1343,6099,19634,258277
1993,Q1,40829,41075,29588,26058,6865,1352,6087,19650,259039
1993,Q2,40942,41147,29590,26216,6954,1392,6117,19690,259826
1993,Q3,40997,41234,29514,26417,7002,1403,6156,19850,260714
1993,Q4,41423,41567,29625,26564,7068,1432,6179,19915,261547
1994,Q1,41713,41896,29737,26796,7169,1462,6245,20025,262250
1994,Q2,42154,42311,29946,26925,7211,1474,6276,20109,263020
1994,Q3,42264,42410,30025,27043,7255,1484,6310,20178,263870
1994,Q4,42618,42756,30362,27252,7371,1532,6357,20235,264678
1995,Q1,42654,42844,30537,27247,7315,1496,6363,20321,265388
1995,Q2,42660,42863,30534,27408,7343,1507,6376,20464,266142
1995,Q3,42885,43009,30712,27568,7408,1545,6378,20548,267000
1995,Q4,43044,43231,30792,27675,7455,1567,6391,20599,267820
1996,Q1,43259,43481,31001,27861,7496,1580,6417,20751,268487
1996,Q2,43856,44032,31193,28080,7621,1625,6481,20811,269251
1996,Q3,44105,44263,31334,28159,7650,1631,6506,20856,270128
1996,Q4,44421,44608,31392,28293,7718,1658,6538,20906,270991
1997,Q1,44590,44731,31596,28515,7801,1698,6559,21036,271709
1997,Q2,45203,45384,31777,28562,7773,1688,6544,21135,272487
1997,Q3,45616,45756,32046,28953,7949,1757,6626,21316,273391
1997,Q4,45862,45966,32418,29207,8032,1797,6652,21483,274246
1998,Q1,46204,46354,33022,29427,8072,1807,6682,21675,274950
1998,Q2,46504,46639,33394,29864,8259,1893,6745,21896,275703
1998,Q3,46943,47009,33621,30159,8357,1940,6773,22088,276564
1998,Q4,47555,47633,33771,30502,8585,2049,6845,22144,277400
1999,Q1,47880,48000,34045,30738,8670,2048,6954,22289,278103
1999,Q2,48148,48292,33975,31123,8850,2140,7001,22464,278864
1999,Q3,48632,48762,34107,31373,8926,2185,7011,22638,279751
1999,Q4,49281,49457,34446,31737,9052,2204,7132,22867,280592
2000,Q1,49335,49484,34958,32135,9164,2321,7052,23156,281304
2000,Q2,50109,50270,35284,32355,9190,2273,7174,23369,282002
2000,Q3,50024,50158,35653,32576,9260,2305,7202,23517,282769
2000,Q4,50190,50439,35797,32774,9316,2315,7252,23660,283518
2001,Q1,49911,50088,35999,32818,9316,2347,7192,23707,284169
2001,Q2,50105,50320,35887,32806,9319,2340,7209,23690,284838
2001,Q3,49774,49878,36611,32835,9361,2361,7223,23662,285584
2001,Q4,49783,50182,35912,33280,9674,2551,7266,23727,286311
2002,Q1,50091,50309,36693,33281,9637,2517,7281,23781,286935
2002,Q2,50286,50415,36905,33375,9642,2528,7269,23878,287574
2002,Q3,50362,50549,36857,33524,9736,2597,7263,23915,288303
2002,Q4,50302,50558,36992,33628,9751,2567,7332,24009,289007
2003,Q1,50462,50645,36924,33723,9785,2564,7376,24069,289609
2003,Q2,50796,51035,37261,34034,9976,2674,7419,24156,290253
2003,Q3,51512,51742,37802,34430,10231,2786,7537,24256,290974
2003,Q4,51986,52324,37814,34584,10298,2819,7562,24337,291669
2004,Q1,52179,52594,37912,34839,10394,2863,7605,24491,292237
2004,Q2,52469,52770,38217,34952,10407,2864,7619,24598,292875
2004,Q3,52835,53171,38368,35275,10527,2931,7655,24795,293603
2004,Q4,53242,53458,38718,35586,10641,2979,7714,24986,294334
2005,Q1,53719,54070,38112,35736,10700,2987,7770,25074,294957
2005,Q2,53868,54163,38378,36055,10835,3060,7814,25247,295588
2005,Q3,54153,54478,38422,36262,10910,3112,7824,25375,296340
2005,Q4,54317,54523,38669,36238,10860,3011,7913,25412,297086
2006,Q1,54927,55136,39299,36553,11061,3124,7977,25500,297736
2006,Q2,54945,55126,39357,36660,11052,3118,7975,25626,298408
2006,Q3,54886,55014,39312,36800,11120,3154,8000,25691,299180
2006,Q4,55216,55373,39690,37056,11247,3191,8091,25809,299946
2007,Q1,55260,55410,39905,37202,11301,3226,8100,25900,300609
2007,Q2,55474,55693,40013,37216,11302,3253,8065,25913,301284
2007,Q3,55649,56082,39977,37368,11344,3284,8070,26024,302062
2007,Q4,55857,56449,39925,37420,11338,3301,8043,26088,302829
2008,Q1,55497,56045,40006,37287,11127,3187,7963,26202,303494
2008,Q2,55705,56272,40740,37308,11086,3157,7958,26273,304160
2008,Q3,55278,55909,39858,36930,10827,3043,7822,26186,304902
2008,Q4,53941,54278,40218,36512,10473,2813,7730,26167,305616
2009,Q1,53221,53653,40106,36346,10454,2812,7711,26012,306237
2009,Q2,53017,53455,40292,36093,10366,2786,7649,25848,306866
2009,Q3,53081,53736,39713,36252,10522,2914,7656,25830,307573
2009,Q4,53531,54153,39680,36129,10442,2839,7663,25795,308285
2010,Q1,53683,54407,39838,36266,10499,2868,7688,25872,308901
2010,Q2,54100,54830,40423,36521,10622,2953,7716,25998,309488
2010,Q3,54401,55096,40556,36704,10679,2993,7728,26123,310148
2010,Q4,54569,55313,40622,36849,10804,3070,7769,26130,310817
2011,Q1,54341,55112,40957,36924,10839,3091,7781,26167,311376
2011,Q2,54610,55370,40802,36895,10779,3064,7750,26206,311940
2011,Q3,54482,55318,40932,36928,10760,3085,7707,26264,312606
2011,Q4,54979,55863,40939,36915,10815,3152,7689,26185,313258
2012,Q1,55342,56168,41493,37115,10933,3223,7732,26257,313813
2012,Q2,55490,56251,41698,37114,10912,3224,7709,26281,314373
2012,Q3,55454,56214,41281,37112,10937,3259,7697,26249,315030
2012,Q4,55403,56151,42342,37183,10992,3326,7681,26260,315685
2013,Q1,55859,56565,40599,37364,11175,3404,7785,26237,316196
2013,Q2,55914,56661,40837,37407,11180,3414,7779,26277,316733
2013,Q3,56272,57052,40894,37481,11247,3438,7822,26276,317396
2013,Q4,56642,57400,40864,37731,11334,3466,7881,26437,318072
2014,Q1,56345,57104,41266,37798,11399,3518,7892,26434,318645
2014,Q2,56968,57693,41708,38092,11592,3643,7958,26522,319228
2014,Q3,57536,58332,42010,38385,11698,3698,8008,26708,319919
2014,Q4,57702,58402,42517,38743,11840,3761,8086,26921,320611
2015,Q1,58121,58822,43027,38973,11972,3826,8152,27013,321168
2015,Q2,58376,59039,43080,39171,12078,3897,8187,27102,321744
2015,Q3,58486,59149,43228,39363,12189,3939,8255,27179,322428
2015,Q4,58470,59195,43381,39440,12220,3956,8269,27225,323110
2016,Q1,58704,59371,43655,39667,12329,4002,8331,27341,323689
2016,Q2,58787,59453,43490,39792,12414,4028,8389,27381,324265
2016,Q3,59084,59759,43647,39988,12521,4123,8399,27468,324926
2016,Q4,59296,60138,43845,40116,12576,4180,8397,27540,325557
2017,Q1,59494,60321,44233,40363,12670,4207,8463,27693,326053
2017,Q2,59736,60533,44647,40501,12785,4254,8531,27715,326554
2017,Q3,60099,61026,44878,40702,12921,4356,8565,27781,327140
2017,Q4,60674,61707,45080,41078,13170,4510,8661,27908,327692
2018,Q1,61093,62079,45498,41325,13275,4563,8714,28051,328091
2018,Q2,61336,62281,45846,41491,13289,4583,8708,28204,328526
2018,Q3,61622,62457,46257,41617,13329,4609,8722,28290,329040
2018,Q4,61619,62468,46629,41686,13377,4610,8770,28311,329522
2019,Q1,61889,62786,47114,41691,13393,4568,8824,28301,329868
2019,Q2,62331,63224,47026,41977,13599,4679,8921,28385,330245
2019,Q3,62945,63801,47281,42342,13772,4779,8996,28578,330729
2019,Q4,63257,64062,47484,42553,13816,4839,8982,28741,331208
2020,Q1,62333,63157,47722,41812,13729,4620,9106,28092,331537
2020,Q2,57383,57940,52408,38192,13416,4615,8802,24841,331715
2020,Q3,61803,62463,50544,41562,14882,5490,9409,26769,331887
2020,Q4,62411,62997,49525,42110,14992,5564,9446,27200,332060
2021,Q1,63224,63914,55364,43019,15577,5924,9677,27544,332005
2021,Q2,64153,64670,51047,44392,16112,6122,10013,28388,332166
2021,Q3,64611,65096,50317,44659,15742,5727,10030,28996,332497
2021,Q4,65648,66155,49544,45059,15942,5874,10085,29200,332802
2022,Q1,65284,65720,48250,45032,15885,5893,10010,29229,332991
2022,Q2,65127,65692,48031,45209,15857,5874,10001,29434,333320
2022,Q3,65469,66001,48393,45324,15807,5879,9946,29597,333762
2022,Q4,65799,66311,48592,45396,15784,5857,9945,29689,334201
2023,Q1,66096,66539,49807,45772,15965,6046,9947,29888,334547
2023,Q2,66357,66833,50151,45811,15965,6034,9959,29926,334934
2023,Q3,67050,67501,50143,46094,16132,6123,10039,30047,335430
2023,Q4,67513,67954,50179,46400,16227,6162,10095,30257,335923
2024,Q1,67672,68079,50287,46514,16116,6086,10057,30470,336308
2024,Q2,68088,68444,50360,46794,16217,6152,10095,30650,336692
