"","pd_id","page_name","disclaimer","from_date","to_date","new_spend","num_of_new_ads"
"19917","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-08-30","2020-09-05",0,0
"19918","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-09-06","2020-09-12",0,0
"19919","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-09-13","2020-09-19",0,0
"19920","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-09-20","2020-09-26",0,0
"19921","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-09-27","2020-10-03",0,0
"19922","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-10-04","2020-10-10",0,0
"19923","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-10-11","2020-10-17",0,0
"19924","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-10-18","2020-10-24",100,649
"19925","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-10-25","2020-10-31",202798,353
"19926","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-11-01","2020-11-07",46138,0
"20337","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-01-26","2020-02-01",0,0
"20338","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-02-02","2020-02-08",0,0
"20339","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-02-09","2020-02-15",0,0
"20340","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-02-16","2020-02-22",0,0
"20341","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-02-23","2020-02-29",0,0
"20342","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-03-01","2020-03-07",0,0
"20343","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-03-08","2020-03-14",0,0
"20344","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-03-15","2020-03-21",0,0
"20345","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-03-22","2020-03-28",0,0
"20346","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-03-29","2020-04-04",0,0
"20347","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-04-05","2020-04-11",0,0
"20348","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-04-12","2020-04-18",0,0
"20349","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-04-19","2020-04-25",0,0
"20350","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-04-26","2020-05-02",0,0
"20351","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-05-03","2020-05-09",0,0
"20352","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-05-10","2020-05-16",0,0
"20353","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-05-17","2020-05-23",0,0
"20354","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-05-24","2020-05-30",0,0
"20355","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-05-31","2020-06-06",0,0
"20356","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-06-07","2020-06-13",0,0
"20357","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-06-14","2020-06-20",0,0
"20358","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-06-21","2020-06-27",0,0
"20359","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-06-28","2020-07-04",0,0
"20360","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-07-05","2020-07-11",0,0
"20361","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-07-12","2020-07-18",0,0
"20362","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-07-19","2020-07-25",0,0
"20363","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-07-26","2020-08-01",0,0
"20364","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-08-02","2020-08-08",0,0
"20365","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-08-09","2020-08-15",0,0
"20366","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-08-16","2020-08-22",0,0
"20367","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-08-23","2020-08-29",0,0
"20368","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-08-30","2020-09-05",0,0
"20369","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-09-06","2020-09-12",0,0
"20370","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-09-13","2020-09-19",0,0
"20371","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-09-20","2020-09-26",0,0
"20372","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-09-27","2020-10-03",0,0
"20373","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-10-04","2020-10-10",0,0
"20374","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-10-11","2020-10-17",0,0
"20375","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-10-18","2020-10-24",100,347
"20376","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-10-25","2020-10-31",128568,223
"20377","pd-100392691871080-1","Joe Biden Works for You","BIDEN VICTORY FUND","2020-11-01","2020-11-07",39186,0
"63633","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-01-26","2020-02-01",0,0
"63634","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-02-02","2020-02-08",0,0
"63635","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-02-09","2020-02-15",0,0
"63636","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-02-16","2020-02-22",0,0
"63637","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-02-23","2020-02-29",0,0
"63638","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-03-01","2020-03-07",0,0
"63639","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-03-08","2020-03-14",0,0
"63640","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-03-15","2020-03-21",0,0
"63641","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-03-22","2020-03-28",0,0
"63642","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-03-29","2020-04-04",0,0
"63643","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-04-05","2020-04-11",0,0
"63644","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-04-12","2020-04-18",0,0
"63645","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-04-19","2020-04-25",0,0
"63646","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-04-26","2020-05-02",0,0
"63647","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-05-03","2020-05-09",0,0
"63648","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-05-10","2020-05-16",0,0
"63649","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-05-17","2020-05-23",0,0
"63650","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-05-24","2020-05-30",0,0
"63651","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-05-31","2020-06-06",0,0
"63652","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-06-07","2020-06-13",0,0
"63653","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-06-14","2020-06-20",0,0
"63654","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-06-21","2020-06-27",0,0
"63655","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-06-28","2020-07-04",0,0
"63656","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-07-05","2020-07-11",0,0
"63657","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-07-12","2020-07-18",0,0
"63658","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-07-19","2020-07-25",0,0
"63659","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-07-26","2020-08-01",0,0
"63660","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-08-02","2020-08-08",0,0
"63661","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-08-09","2020-08-15",0,0
"63662","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-08-16","2020-08-22",0,0
"63663","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-08-23","2020-08-29",0,0
"63664","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-08-30","2020-09-05",0,0
"63665","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-09-06","2020-09-12",0,0
"63666","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-09-13","2020-09-19",0,0
"63667","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-09-20","2020-09-26",0,0
"63668","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-09-27","2020-10-03",0,0
"63669","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-10-04","2020-10-10",0,0
"63670","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-10-11","2020-10-17",0,0
"63671","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-10-18","2020-10-24",100,524
"63672","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-10-25","2020-10-31",210693,317
"63673","pd-101208151786499-1","Team Biden","BIDEN VICTORY FUND","2020-11-01","2020-11-07",43682,0
"78844","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-01-26","2020-02-01",0,0
"78845","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-02-02","2020-02-08",0,0
"78846","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-02-09","2020-02-15",0,0
"78847","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-02-16","2020-02-22",0,0
"78848","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-02-23","2020-02-29",0,0
"78849","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-03-01","2020-03-07",0,0
"78850","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-03-08","2020-03-14",0,0
"78851","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-03-15","2020-03-21",0,0
"78852","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-03-22","2020-03-28",0,0
"78853","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-03-29","2020-04-04",0,0
"78854","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-04-05","2020-04-11",0,0
"78855","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-04-12","2020-04-18",0,0
"78856","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-04-19","2020-04-25",0,0
"78857","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-04-26","2020-05-02",0,0
"78858","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-05-03","2020-05-09",0,0
"78859","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-05-10","2020-05-16",0,0
"78860","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-05-17","2020-05-23",0,0
"78861","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-05-24","2020-05-30",0,0
"78862","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-05-31","2020-06-06",0,0
"78863","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-06-07","2020-06-13",0,0
"78864","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-06-14","2020-06-20",0,0
"78865","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-06-21","2020-06-27",0,0
"78866","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-06-28","2020-07-04",0,0
"78867","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-07-05","2020-07-11",0,0
"78868","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-07-12","2020-07-18",0,0
"78869","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-07-19","2020-07-25",0,0
"78870","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-07-26","2020-08-01",0,0
"78871","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-08-02","2020-08-08",0,0
"78872","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-08-09","2020-08-15",0,0
"78873","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-08-16","2020-08-22",0,0
"78874","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-08-23","2020-08-29",0,0
"78875","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-08-30","2020-09-05",0,0
"78876","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-09-06","2020-09-12",0,0
"78877","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-09-13","2020-09-19",0,0
"78878","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-09-20","2020-09-26",0,0
"78879","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-09-27","2020-10-03",0,0
"78880","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-10-04","2020-10-10",0,0
"78881","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-10-11","2020-10-17",0,0
"78882","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-10-18","2020-10-24",100,424
"78883","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-10-25","2020-10-31",193811,296
"78884","pd-101492371756069-1","Biden for President 2020","BIDEN VICTORY FUND","2020-11-01","2020-11-07",50939,0
"104551","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-01-26","2020-02-01",0,0
"104552","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-02-02","2020-02-08",0,0
"104553","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-02-09","2020-02-15",0,0
"104554","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-02-16","2020-02-22",0,0
"104555","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-02-23","2020-02-29",0,0
"104556","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-03-01","2020-03-07",0,0
"104557","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-03-08","2020-03-14",0,0
"104558","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-03-15","2020-03-21",0,0
"104559","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-03-22","2020-03-28",0,0
"104560","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-03-29","2020-04-04",0,0
"104561","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-04-05","2020-04-11",0,0
"104562","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-04-12","2020-04-18",0,0
"104563","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-04-19","2020-04-25",0,0
"104564","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-04-26","2020-05-02",0,0
"104565","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-05-03","2020-05-09",0,0
"104566","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-05-10","2020-05-16",0,0
"104567","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-05-17","2020-05-23",0,0
"104568","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-05-24","2020-05-30",0,0
"104569","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-05-31","2020-06-06",0,0
"104570","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-06-07","2020-06-13",0,0
"104571","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-06-14","2020-06-20",0,0
"104572","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-06-21","2020-06-27",0,0
"104573","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-06-28","2020-07-04",0,0
"104574","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-07-05","2020-07-11",0,0
"104575","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-07-12","2020-07-18",0,0
"104576","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-07-19","2020-07-25",0,0
"104577","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-07-26","2020-08-01",0,0
"104578","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-08-02","2020-08-08",0,0
"104579","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-08-09","2020-08-15",0,0
"104580","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-08-16","2020-08-22",0,0
"104581","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-08-23","2020-08-29",0,0
"104582","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-08-30","2020-09-05",0,0
"104583","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-09-06","2020-09-12",0,0
"104584","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-09-13","2020-09-19",0,0
"104585","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-09-20","2020-09-26",0,0
"104586","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-09-27","2020-10-03",0,0
"104587","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-10-04","2020-10-10",0,0
"104588","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-10-11","2020-10-17",0,0
"104589","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-10-18","2020-10-24",100,537
"104590","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-10-25","2020-10-31",204139,320
"104591","pd-102163408354510-1","Team Biden 2020","BIDEN VICTORY FUND","2020-11-01","2020-11-07",46797,0
"134112","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-01-26","2020-02-01",0,0
"134113","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-02-02","2020-02-08",0,0
"134114","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-02-09","2020-02-15",0,0
"134115","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-02-16","2020-02-22",0,0
"134116","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-02-23","2020-02-29",0,0
"134117","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-03-01","2020-03-07",0,0
"134118","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-03-08","2020-03-14",0,0
"134119","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-03-15","2020-03-21",0,0
"134120","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-03-22","2020-03-28",0,0
"134121","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-03-29","2020-04-04",0,0
"134122","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-04-05","2020-04-11",0,0
"134123","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-04-12","2020-04-18",0,0
"134124","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-04-19","2020-04-25",0,0
"134125","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-04-26","2020-05-02",0,0
"134126","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-05-03","2020-05-09",0,0
"134127","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-05-10","2020-05-16",0,0
"134128","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-05-17","2020-05-23",0,0
"134129","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-05-24","2020-05-30",0,0
"134130","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-05-31","2020-06-06",0,0
"134131","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-06-07","2020-06-13",0,0
"134132","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-06-14","2020-06-20",0,0
"134133","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-06-21","2020-06-27",0,0
"134134","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-06-28","2020-07-04",0,0
"134135","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-07-05","2020-07-11",0,0
"134136","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-07-12","2020-07-18",0,0
"134137","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-07-19","2020-07-25",0,0
"134138","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-07-26","2020-08-01",0,0
"134139","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-08-02","2020-08-08",0,0
"134140","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-08-09","2020-08-15",0,0
"134141","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-08-16","2020-08-22",0,0
"134142","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-08-23","2020-08-29",0,0
"134143","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-08-30","2020-09-05",0,0
"134144","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-09-06","2020-09-12",0,0
"134145","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-09-13","2020-09-19",0,0
"134146","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-09-20","2020-09-26",0,0
"134147","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-09-27","2020-10-03",0,0
"134148","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-10-04","2020-10-10",0,0
"134149","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-10-11","2020-10-17",0,0
"134150","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-10-18","2020-10-24",100,530
"134151","pd-102877524950962-1","Vote for Joe Biden 2020","BIDEN VICTORY FUND","2020-10-25","2020-10-31",205061,406
