year,state,weeks_left,days_left,party,candidate,poll_date,poll_support,before_convention
2016,National,30,208,REP,Donald Trump,2016-04-14,40.55394,TRUE
2016,National,30,208,DEM,Hillary Rodham Clinton,2016-04-14,48.66191,TRUE
2016,National,30,207,REP,Donald Trump,2016-04-15,40.65237,TRUE
2016,National,30,207,DEM,Hillary Rodham Clinton,2016-04-15,48.61714,TRUE
2016,National,29,206,REP,Donald Trump,2016-04-16,40.67388,TRUE
2016,National,29,206,DEM,Hillary Rodham Clinton,2016-04-16,48.6134,TRUE
2016,National,29,205,REP,Donald Trump,2016-04-17,40.68413,TRUE
2016,National,29,205,DEM,Hillary Rodham Clinton,2016-04-17,48.79501,TRUE
2016,National,29,204,REP,Donald Trump,2016-04-18,40.75519,TRUE
2016,National,29,204,DEM,Hillary Rodham Clinton,2016-04-18,48.73502,TRUE
2016,National,29,203,REP,Donald Trump,2016-04-19,40.81068,TRUE
2016,National,29,203,DEM,Hillary Rodham Clinton,2016-04-19,48.68856,TRUE
2016,National,29,202,REP,Donald Trump,2016-04-20,40.88049,TRUE
2016,National,29,202,DEM,Hillary Rodham Clinton,2016-04-20,48.35302,TRUE
2016,National,29,201,REP,Donald Trump,2016-04-21,40.98873,TRUE
2016,National,29,201,DEM,Hillary Rodham Clinton,2016-04-21,48.31114,TRUE
2016,National,29,200,REP,Donald Trump,2016-04-22,41.19787,TRUE
2016,National,29,200,DEM,Hillary Rodham Clinton,2016-04-22,48.23935,TRUE
2016,National,28,199,REP,Donald Trump,2016-04-23,41.2365,TRUE
2016,National,28,199,DEM,Hillary Rodham Clinton,2016-04-23,48.31429,TRUE
2016,National,28,198,REP,Donald Trump,2016-04-24,40.76301,TRUE
2016,National,28,198,DEM,Hillary Rodham Clinton,2016-04-24,48.53803,TRUE
2016,National,28,197,REP,Donald Trump,2016-04-25,40.88538,TRUE
2016,National,28,197,DEM,Hillary Rodham Clinton,2016-04-25,48.41153,TRUE
2016,National,28,196,REP,Donald Trump,2016-04-26,40.92091,TRUE
2016,National,28,196,DEM,Hillary Rodham Clinton,2016-04-26,47.58704,TRUE
2016,National,28,195,REP,Donald Trump,2016-04-27,40.99847,TRUE
2016,National,28,195,DEM,Hillary Rodham Clinton,2016-04-27,47.48989,TRUE
2016,National,28,194,REP,Donald Trump,2016-04-28,41.36185,TRUE
2016,National,28,194,DEM,Hillary Rodham Clinton,2016-04-28,47.4749,TRUE
2016,National,28,193,REP,Donald Trump,2016-04-29,41.49137,TRUE
2016,National,28,193,DEM,Hillary Rodham Clinton,2016-04-29,47.48863,TRUE
2016,National,27,192,REP,Donald Trump,2016-04-30,41.61391,TRUE
2016,National,27,192,DEM,Hillary Rodham Clinton,2016-04-30,47.46349,TRUE
2016,National,27,191,REP,Donald Trump,2016-05-01,41.51591,TRUE
2016,National,27,191,DEM,Hillary Rodham Clinton,2016-05-01,47.83271,TRUE
2016,National,27,190,REP,Donald Trump,2016-05-02,41.58704,TRUE
2016,National,27,190,DEM,Hillary Rodham Clinton,2016-05-02,47.88375,TRUE
2016,National,27,189,REP,Donald Trump,2016-05-03,41.66159,TRUE
2016,National,27,189,DEM,Hillary Rodham Clinton,2016-05-03,47.87336,TRUE
2016,National,27,188,REP,Donald Trump,2016-05-04,41.76783,TRUE
2016,National,27,188,DEM,Hillary Rodham Clinton,2016-05-04,48.28608,TRUE
2016,National,27,187,REP,Donald Trump,2016-05-05,41.97034,TRUE
2016,National,27,187,DEM,Hillary Rodham Clinton,2016-05-05,48.13321,TRUE
2016,National,27,186,REP,Donald Trump,2016-05-06,42.08199,TRUE
2016,National,27,186,DEM,Hillary Rodham Clinton,2016-05-06,47.91378,TRUE
2016,National,26,185,REP,Donald Trump,2016-05-07,42.07001,TRUE
2016,National,26,185,DEM,Hillary Rodham Clinton,2016-05-07,47.86022,TRUE
2016,National,26,184,REP,Donald Trump,2016-05-08,43.31971,TRUE
2016,National,26,184,DEM,Hillary Rodham Clinton,2016-05-08,47.58167,TRUE
2016,National,26,183,REP,Donald Trump,2016-05-09,42.08594,TRUE
2016,National,26,183,DEM,Hillary Rodham Clinton,2016-05-09,46.3755,TRUE
2016,National,26,182,REP,Donald Trump,2016-05-10,42.53393,TRUE
2016,National,26,182,DEM,Hillary Rodham Clinton,2016-05-10,46.61798,TRUE
2016,National,26,181,REP,Donald Trump,2016-05-11,42.39898,TRUE
2016,National,26,181,DEM,Hillary Rodham Clinton,2016-05-11,46.73993,TRUE
2016,National,26,180,REP,Donald Trump,2016-05-12,42.62192,TRUE
2016,National,26,180,DEM,Hillary Rodham Clinton,2016-05-12,46.43602,TRUE
2016,National,26,179,REP,Donald Trump,2016-05-13,42.68681,TRUE
2016,National,26,179,DEM,Hillary Rodham Clinton,2016-05-13,46.50868,TRUE
2016,National,25,178,REP,Donald Trump,2016-05-14,42.67084,TRUE
2016,National,25,178,DEM,Hillary Rodham Clinton,2016-05-14,46.49825,TRUE
2016,National,25,177,REP,Donald Trump,2016-05-15,42.41125,TRUE
2016,National,25,177,DEM,Hillary Rodham Clinton,2016-05-15,45.28389,TRUE
2016,National,25,176,REP,Donald Trump,2016-05-16,42.45411,TRUE
2016,National,25,176,DEM,Hillary Rodham Clinton,2016-05-16,45.22824,TRUE
2016,National,25,175,REP,Donald Trump,2016-05-17,42.54057,TRUE
2016,National,25,175,DEM,Hillary Rodham Clinton,2016-05-17,44.87046,TRUE
2016,National,25,174,REP,Donald Trump,2016-05-18,42.72803,TRUE
2016,National,25,174,DEM,Hillary Rodham Clinton,2016-05-18,44.58748,TRUE
2016,National,25,173,REP,Donald Trump,2016-05-19,43.21142,TRUE
2016,National,25,173,DEM,Hillary Rodham Clinton,2016-05-19,44.44678,TRUE
2016,National,25,172,REP,Donald Trump,2016-05-20,43.57634,TRUE
2016,National,25,172,DEM,Hillary Rodham Clinton,2016-05-20,44.47628,TRUE
2016,National,24,171,REP,Donald Trump,2016-05-21,43.6087,TRUE
2016,National,24,171,DEM,Hillary Rodham Clinton,2016-05-21,44.42249,TRUE
2016,National,24,170,REP,Donald Trump,2016-05-22,43.65593,TRUE
2016,National,24,170,DEM,Hillary Rodham Clinton,2016-05-22,44.39217,TRUE
2016,National,24,169,REP,Donald Trump,2016-05-23,43.43075,TRUE
2016,National,24,169,DEM,Hillary Rodham Clinton,2016-05-23,44.18473,TRUE
2016,National,24,168,REP,Donald Trump,2016-05-24,43.3628,TRUE
2016,National,24,168,DEM,Hillary Rodham Clinton,2016-05-24,44.19992,TRUE
2016,National,24,167,REP,Donald Trump,2016-05-25,43.37844,TRUE
2016,National,24,167,DEM,Hillary Rodham Clinton,2016-05-25,44.21585,TRUE
2016,National,24,166,REP,Donald Trump,2016-05-26,43.45782,TRUE
2016,National,24,166,DEM,Hillary Rodham Clinton,2016-05-26,44.08557,TRUE
2016,National,24,165,REP,Donald Trump,2016-05-27,43.43723,TRUE
2016,National,24,165,DEM,Hillary Rodham Clinton,2016-05-27,44.07299,TRUE
2016,National,23,164,REP,Donald Trump,2016-05-28,43.359,TRUE
2016,National,23,164,DEM,Hillary Rodham Clinton,2016-05-28,44.10684,TRUE
2016,National,23,163,REP,Donald Trump,2016-05-29,43.47695,TRUE
2016,National,23,163,DEM,Hillary Rodham Clinton,2016-05-29,44.29289,TRUE
2016,National,23,162,REP,Donald Trump,2016-05-30,42.9847,TRUE
2016,National,23,162,DEM,Hillary Rodham Clinton,2016-05-30,44.07858,TRUE
2016,National,23,161,REP,Donald Trump,2016-05-31,42.94847,TRUE
2016,National,23,161,DEM,Hillary Rodham Clinton,2016-05-31,44.05272,TRUE
2016,National,23,160,REP,Donald Trump,2016-06-01,42.88638,TRUE
2016,National,23,160,DEM,Hillary Rodham Clinton,2016-06-01,43.94097,TRUE
2016,National,23,159,REP,Donald Trump,2016-06-02,42.75145,TRUE
2016,National,23,159,DEM,Hillary Rodham Clinton,2016-06-02,44.09292,TRUE
2016,National,23,158,REP,Donald Trump,2016-06-03,42.52071,TRUE
2016,National,23,158,DEM,Hillary Rodham Clinton,2016-06-03,44.17188,TRUE
2016,National,22,157,REP,Donald Trump,2016-06-04,42.34121,TRUE
2016,National,22,157,DEM,Hillary Rodham Clinton,2016-06-04,44.26293,TRUE
2016,National,22,156,REP,Donald Trump,2016-06-05,41.8954,TRUE
2016,National,22,156,DEM,Hillary Rodham Clinton,2016-06-05,44.18262,TRUE
2016,National,22,155,REP,Donald Trump,2016-06-06,41.71124,TRUE
2016,National,22,155,DEM,Hillary Rodham Clinton,2016-06-06,44.21402,TRUE
2016,National,22,154,REP,Donald Trump,2016-06-07,41.77028,TRUE
2016,National,22,154,DEM,Hillary Rodham Clinton,2016-06-07,43.91096,TRUE
2016,National,22,153,REP,Donald Trump,2016-06-08,39.81857,TRUE
2016,National,22,153,DEM,Hillary Rodham Clinton,2016-06-08,42.74662,TRUE
2016,National,22,152,REP,Donald Trump,2016-06-09,39.08626,TRUE
2016,National,22,152,DEM,Hillary Rodham Clinton,2016-06-09,42.8056,TRUE
2016,National,22,151,REP,Donald Trump,2016-06-10,38.79552,TRUE
2016,National,22,151,DEM,Hillary Rodham Clinton,2016-06-10,42.97179,TRUE
2016,National,21,150,REP,Donald Trump,2016-06-11,38.52656,TRUE
2016,National,21,150,DEM,Hillary Rodham Clinton,2016-06-11,42.9378,TRUE
2016,National,21,149,REP,Donald Trump,2016-06-12,38.14864,TRUE
2016,National,21,149,DEM,Hillary Rodham Clinton,2016-06-12,43.05914,TRUE
2016,National,21,148,REP,Donald Trump,2016-06-13,37.91064,TRUE
2016,National,21,148,DEM,Hillary Rodham Clinton,2016-06-13,42.67846,TRUE
2016,National,21,147,REP,Donald Trump,2016-06-14,37.70923,TRUE
2016,National,21,147,DEM,Hillary Rodham Clinton,2016-06-14,42.6573,TRUE
2016,National,21,146,REP,Donald Trump,2016-06-15,37.97659,TRUE
2016,National,21,146,DEM,Hillary Rodham Clinton,2016-06-15,43.20708,TRUE
2016,National,21,145,REP,Donald Trump,2016-06-16,38.42384,TRUE
2016,National,21,145,DEM,Hillary Rodham Clinton,2016-06-16,43.73912,TRUE
2016,National,21,144,REP,Donald Trump,2016-06-17,38.39178,TRUE
2016,National,21,144,DEM,Hillary Rodham Clinton,2016-06-17,43.72751,TRUE
2016,National,20,143,REP,Donald Trump,2016-06-18,38.34039,TRUE
2016,National,20,143,DEM,Hillary Rodham Clinton,2016-06-18,43.97888,TRUE
2016,National,20,142,REP,Donald Trump,2016-06-19,38.36926,TRUE
2016,National,20,142,DEM,Hillary Rodham Clinton,2016-06-19,43.72672,TRUE
2016,National,20,141,REP,Donald Trump,2016-06-20,38.82962,TRUE
2016,National,20,141,DEM,Hillary Rodham Clinton,2016-06-20,44.06465,TRUE
2016,National,20,140,REP,Donald Trump,2016-06-21,38.82297,TRUE
2016,National,20,140,DEM,Hillary Rodham Clinton,2016-06-21,44.22772,TRUE
2016,National,20,139,REP,Donald Trump,2016-06-22,38.79306,TRUE
2016,National,20,139,DEM,Hillary Rodham Clinton,2016-06-22,44.31414,TRUE
2016,National,20,138,REP,Donald Trump,2016-06-23,38.7165,TRUE
2016,National,20,138,DEM,Hillary Rodham Clinton,2016-06-23,44.16502,TRUE
2016,National,20,137,REP,Donald Trump,2016-06-24,38.77316,TRUE
2016,National,20,137,DEM,Hillary Rodham Clinton,2016-06-24,44.32035,TRUE
2016,National,19,136,REP,Donald Trump,2016-06-25,38.77773,TRUE
2016,National,19,136,DEM,Hillary Rodham Clinton,2016-06-25,44.34155,TRUE
2016,National,19,135,REP,Donald Trump,2016-06-26,38.78666,TRUE
2016,National,19,135,DEM,Hillary Rodham Clinton,2016-06-26,44.49011,TRUE
2016,National,19,134,REP,Donald Trump,2016-06-27,38.40215,TRUE
2016,National,19,134,DEM,Hillary Rodham Clinton,2016-06-27,43.98907,TRUE
2016,National,19,133,REP,Donald Trump,2016-06-28,38.66706,TRUE
2016,National,19,133,DEM,Hillary Rodham Clinton,2016-06-28,44.30521,TRUE
2016,National,19,132,REP,Donald Trump,2016-06-29,38.65209,TRUE
2016,National,19,132,DEM,Hillary Rodham Clinton,2016-06-29,43.53298,TRUE
2016,National,19,131,REP,Donald Trump,2016-06-30,38.79634,TRUE
2016,National,19,131,DEM,Hillary Rodham Clinton,2016-06-30,43.53404,TRUE
2016,National,19,130,REP,Donald Trump,2016-07-01,39.03957,TRUE
2016,National,19,130,DEM,Hillary Rodham Clinton,2016-07-01,43.48644,TRUE
2016,National,18,129,REP,Donald Trump,2016-07-02,39.12633,TRUE
2016,National,18,129,DEM,Hillary Rodham Clinton,2016-07-02,43.48127,TRUE
2016,National,18,128,REP,Donald Trump,2016-07-03,39.22176,TRUE
2016,National,18,128,DEM,Hillary Rodham Clinton,2016-07-03,43.41246,TRUE
2016,National,18,127,REP,Donald Trump,2016-07-04,39.1653,TRUE
2016,National,18,127,DEM,Hillary Rodham Clinton,2016-07-04,43.48192,TRUE
2016,National,18,126,REP,Donald Trump,2016-07-05,39.11433,TRUE
2016,National,18,126,DEM,Hillary Rodham Clinton,2016-07-05,43.42197,TRUE
2016,National,18,125,REP,Donald Trump,2016-07-06,39.16809,TRUE
2016,National,18,125,DEM,Hillary Rodham Clinton,2016-07-06,43.40965,TRUE
2016,National,18,124,REP,Donald Trump,2016-07-07,39.38638,TRUE
2016,National,18,124,DEM,Hillary Rodham Clinton,2016-07-07,43.40554,TRUE
2016,National,18,123,REP,Donald Trump,2016-07-08,39.5132,TRUE
2016,National,18,123,DEM,Hillary Rodham Clinton,2016-07-08,43.35671,TRUE
2016,National,17,122,REP,Donald Trump,2016-07-09,38.74421,TRUE
2016,National,17,122,DEM,Hillary Rodham Clinton,2016-07-09,42.88163,TRUE
2016,National,17,121,REP,Donald Trump,2016-07-10,39.06358,TRUE
2016,National,17,121,DEM,Hillary Rodham Clinton,2016-07-10,42.67928,TRUE
2016,National,17,120,REP,Donald Trump,2016-07-11,39.00086,TRUE
2016,National,17,120,DEM,Hillary Rodham Clinton,2016-07-11,42.60842,TRUE
2016,National,17,119,REP,Donald Trump,2016-07-12,38.97839,TRUE
2016,National,17,119,DEM,Hillary Rodham Clinton,2016-07-12,42.03815,TRUE
2016,National,17,118,REP,Donald Trump,2016-07-13,39.00632,TRUE
2016,National,17,118,DEM,Hillary Rodham Clinton,2016-07-13,41.99547,TRUE
2016,National,17,117,REP,Donald Trump,2016-07-14,39.07936,TRUE
2016,National,17,117,DEM,Hillary Rodham Clinton,2016-07-14,42.15539,TRUE
2016,National,17,116,REP,Donald Trump,2016-07-15,38.94312,TRUE
2016,National,17,116,DEM,Hillary Rodham Clinton,2016-07-15,42.10009,TRUE
2016,National,16,115,REP,Donald Trump,2016-07-16,39.37487,TRUE
2016,National,16,115,DEM,Hillary Rodham Clinton,2016-07-16,42.23518,TRUE
2016,National,16,114,REP,Donald Trump,2016-07-17,39.66739,TRUE
2016,National,16,114,DEM,Hillary Rodham Clinton,2016-07-17,42.32452,TRUE
2016,National,16,113,REP,Donald Trump,2016-07-18,39.78434,TRUE
2016,National,16,113,DEM,Hillary Rodham Clinton,2016-07-18,42.18048,TRUE
2016,National,16,112,REP,Donald Trump,2016-07-19,40.1848,TRUE
2016,National,16,112,DEM,Hillary Rodham Clinton,2016-07-19,42.38397,TRUE
2016,National,16,111,REP,Donald Trump,2016-07-20,40.48289,TRUE
2016,National,16,111,DEM,Hillary Rodham Clinton,2016-07-20,42.3138,TRUE
2016,National,16,110,REP,Donald Trump,2016-07-21,40.63885,FALSE
2016,National,16,110,DEM,Hillary Rodham Clinton,2016-07-21,42.23481,TRUE
2016,National,16,109,REP,Donald Trump,2016-07-22,41.62041,FALSE
2016,National,16,109,DEM,Hillary Rodham Clinton,2016-07-22,42.18811,TRUE
2016,National,15,108,REP,Donald Trump,2016-07-23,42.63998,FALSE
2016,National,15,108,DEM,Hillary Rodham Clinton,2016-07-23,42.47025,TRUE
2016,National,15,107,REP,Donald Trump,2016-07-24,42.99321,FALSE
2016,National,15,107,DEM,Hillary Rodham Clinton,2016-07-24,41.52752,TRUE
2016,National,15,106,REP,Donald Trump,2016-07-25,43.71955,FALSE
2016,National,15,106,DEM,Hillary Rodham Clinton,2016-07-25,41.48632,TRUE
2016,National,15,105,REP,Donald Trump,2016-07-26,43.95656,FALSE
2016,National,15,105,DEM,Hillary Rodham Clinton,2016-07-26,41.05025,TRUE
2016,National,15,104,REP,Donald Trump,2016-07-27,43.12469,FALSE
2016,National,15,104,DEM,Hillary Rodham Clinton,2016-07-27,43.40863,TRUE
2016,National,15,103,REP,Donald Trump,2016-07-28,42.32221,FALSE
2016,National,15,103,DEM,Hillary Rodham Clinton,2016-07-28,43.35754,FALSE
2016,National,15,102,REP,Donald Trump,2016-07-29,41.86614,FALSE
2016,National,15,102,DEM,Hillary Rodham Clinton,2016-07-29,44.01765,FALSE
2016,National,14,101,REP,Donald Trump,2016-07-30,41.31393,FALSE
2016,National,14,101,DEM,Hillary Rodham Clinton,2016-07-30,44.51378,FALSE
2016,National,14,100,REP,Donald Trump,2016-07-31,40.59044,FALSE
2016,National,14,100,DEM,Hillary Rodham Clinton,2016-07-31,44.66433,FALSE
2016,National,14,99,REP,Donald Trump,2016-08-01,40.22011,FALSE
2016,National,14,99,DEM,Hillary Rodham Clinton,2016-08-01,44.69228,FALSE
2016,National,14,98,REP,Donald Trump,2016-08-02,39.90827,FALSE
2016,National,14,98,DEM,Hillary Rodham Clinton,2016-08-02,45.10708,FALSE
2016,National,14,97,REP,Donald Trump,2016-08-03,39.24868,FALSE
2016,National,14,97,DEM,Hillary Rodham Clinton,2016-08-03,44.9605,FALSE
2016,National,14,96,REP,Donald Trump,2016-08-04,39.03553,FALSE
2016,National,14,96,DEM,Hillary Rodham Clinton,2016-08-04,45.1073,FALSE
2016,National,14,95,REP,Donald Trump,2016-08-05,38.79219,FALSE
2016,National,14,95,DEM,Hillary Rodham Clinton,2016-08-05,45.13138,FALSE
2016,National,13,94,REP,Donald Trump,2016-08-06,38.62396,FALSE
2016,National,13,94,DEM,Hillary Rodham Clinton,2016-08-06,45.29787,FALSE
2016,National,13,93,REP,Donald Trump,2016-08-07,38.53794,FALSE
2016,National,13,93,DEM,Hillary Rodham Clinton,2016-08-07,45.64571,FALSE
2016,National,13,92,REP,Donald Trump,2016-08-08,38.68027,FALSE
2016,National,13,92,DEM,Hillary Rodham Clinton,2016-08-08,45.50704,FALSE
2016,National,13,91,REP,Donald Trump,2016-08-09,37.84196,FALSE
2016,National,13,91,DEM,Hillary Rodham Clinton,2016-08-09,45.08843,FALSE
2016,National,13,90,REP,Donald Trump,2016-08-10,37.84456,FALSE
2016,National,13,90,DEM,Hillary Rodham Clinton,2016-08-10,45.11343,FALSE
2016,National,13,89,REP,Donald Trump,2016-08-11,37.80242,FALSE
2016,National,13,89,DEM,Hillary Rodham Clinton,2016-08-11,45.00074,FALSE
2016,National,13,88,REP,Donald Trump,2016-08-12,37.68069,FALSE
2016,National,13,88,DEM,Hillary Rodham Clinton,2016-08-12,45.05894,FALSE
2016,National,12,87,REP,Donald Trump,2016-08-13,37.61824,FALSE
2016,National,12,87,DEM,Hillary Rodham Clinton,2016-08-13,44.80503,FALSE
2016,National,12,86,REP,Donald Trump,2016-08-14,37.43902,FALSE
2016,National,12,86,DEM,Hillary Rodham Clinton,2016-08-14,44.69211,FALSE
2016,National,12,85,REP,Donald Trump,2016-08-15,37.59656,FALSE
2016,National,12,85,DEM,Hillary Rodham Clinton,2016-08-15,44.73889,FALSE
2016,National,12,84,REP,Donald Trump,2016-08-16,37.51305,FALSE
2016,National,12,84,DEM,Hillary Rodham Clinton,2016-08-16,44.30008,FALSE
2016,National,12,83,REP,Donald Trump,2016-08-17,37.52608,FALSE
2016,National,12,83,DEM,Hillary Rodham Clinton,2016-08-17,44.1397,FALSE
2016,National,12,82,REP,Donald Trump,2016-08-18,37.50729,FALSE
2016,National,12,82,DEM,Hillary Rodham Clinton,2016-08-18,44.09953,FALSE
2016,National,12,81,REP,Donald Trump,2016-08-19,37.49392,FALSE
2016,National,12,81,DEM,Hillary Rodham Clinton,2016-08-19,44.05559,FALSE
2016,National,11,80,REP,Donald Trump,2016-08-20,37.85382,FALSE
2016,National,11,80,DEM,Hillary Rodham Clinton,2016-08-20,44.07226,FALSE
2016,National,11,79,REP,Donald Trump,2016-08-21,37.88445,FALSE
2016,National,11,79,DEM,Hillary Rodham Clinton,2016-08-21,44.04297,FALSE
2016,National,11,78,REP,Donald Trump,2016-08-22,37.97769,FALSE
2016,National,11,78,DEM,Hillary Rodham Clinton,2016-08-22,43.96475,FALSE
2016,National,11,77,REP,Donald Trump,2016-08-23,37.91701,FALSE
2016,National,11,77,DEM,Hillary Rodham Clinton,2016-08-23,43.78408,FALSE
2016,National,11,76,REP,Donald Trump,2016-08-24,38.11041,FALSE
2016,National,11,76,DEM,Hillary Rodham Clinton,2016-08-24,43.86934,FALSE
2016,National,11,75,REP,Donald Trump,2016-08-25,38.27172,FALSE
2016,National,11,75,DEM,Hillary Rodham Clinton,2016-08-25,43.96629,FALSE
