"","date","state","city","candidate","Event.Type","year"
"95",2016-08-23,"PA","Pipersville","Pence","Rally/Speech",2016
"96",2016-08-24,"MS","Jackson","Trump","Rally/Speech",2016
"97",2016-08-24,"FL","Tampa","Trump","Rally/Speech",2016
"98",2016-08-24,"NC","Charlotte","Pence","Rally/Speech",2016
"99",2016-08-24,"NC","Wilmington","Pence","Rally/Speech",2016
"100",2016-08-25,"NV","Reno","Clinton","Rally/Speech",2016
"101",2016-08-25,"NY","New York","Kaine","Late Show with Stephen Colbert",2016
"102",2016-08-25,"NH","Manchester","Trump","Rally/Speech",2016
"103",2016-08-26,"NJ","Secaucus","Clinton","Morning Joe (MSNBC)",2016
"104",2016-08-26,"FL","Tallahassee","Kaine","Voter Registration Event",2016
"105",2016-08-27,"FL","Pembroke Pines","Kaine","Rally/Speech",2016
"106",2016-08-27,"IA","Des Moines ","Trump","Speech at Ernst ""Roast and Ride"" Fundraiser",2016
"107",2016-08-27,"VA","Purcellville","Pence","Rally/Speech",2016
"108",2016-08-28,"DC","Washington DC","Pence","State of the Union with Jake Tapper",2016
"109",2016-08-29,"GA","Perry","Pence","Town hall",2016
"110",2016-08-29,"GA","Atlanta","Pence","Rally/Speech",2016
"111",2016-08-30,"PA","Erie","Kaine","Rally/Speech",2016
"112",2016-08-30,"PA","Lancaster","Kaine","Rally/Speech",2016
"113",2016-08-30,"WA","Everett","Trump","Rally/Speech",2016
"114",2016-08-30,"GA","Dalton","Pence","Town hall",2016
"115",2016-08-30,"NC","Winston-Salem","Pence","Rally/Speech",2016
"116",2016-08-31,"OH","Cincinnati","Clinton","American Legion National Convention",2016
"117",2016-08-31,"PA","Bethlehem","Kaine","Rally/Speech",2016
"118",2016-08-31,"AZ","Phoenix","Trump","Rally/Speech",2016
"119",2016-08-31,"FL","Sarasota","Pence","Rally/Town hall",2016
"120",2016-09-01,"NH","Manchester","Kaine","Round-table at Manchester Community College",2016
"121",2016-09-01,"OH","Cincinnati","Trump","American Legion National Convention",2016
"122",2016-09-01,"OH","Wilmington","Trump","Rally/Speech",2016
"123",2016-09-01,"UT","Salt Lake City","Pence","Fundraiser",2016
"124",2016-09-01,"ID","Boise","Pence","Fundraiser",2016
"125",2016-09-03,"MI","Detroit","Trump","Speech at Greater Faith Ministries",2016
"126",2016-09-04,"NY","New York","Kaine","ABC ""This Week"" Interview",2016
"127",2016-09-05,"OH","Cleveland","Clinton / Kaine","Labor Day Festival/Speeches",2016
"128",2016-09-05,"IL","Hampton","Clinton","Salute to Labor Picnic/Speech",2016
"129",2016-09-05,"PA","Pittsburgh","Kaine","Rally/Speech",2016
"130",2016-09-05,"OH","Cleveland","Trump / Pence","Round-table discussion",2016
"131",2016-09-05,"OH","Canfield","Trump / Pence","Canfield County Fair / Speech",2016
"132",2016-09-06,"FL","Tampa","Clinton","Rally/Speech",2016
"133",2016-09-06,"NC","Wilmington","Kaine","Rally/Speech",2016
"134",2016-09-06,"VA","Virginia Beach","Trump","Rally/Speech",2016
"135",2016-09-06,"NC","Greenville","Trump","Rally/Speech",2016
"136",2016-09-06,"MO","Springfield","Pence","Rally/Speech",2016
"137",2016-09-06,"MO","Chesterfield","Pence","Rally/Speech",2016
"138",2016-09-07,"NY","New York","Clinton","NBC Commander in Chief Forum",2016
"139",2016-09-07,"NY","New York","Trump","NBC Commander in Chief Forum",2016
"140",2016-09-07,"PA","Philadelphia","Trump","Speech to the Union League",2016
"141",2016-09-07,"CA","La Jolla","Pence","Fundraiser",2016
"142",2016-09-07,"CA","Newport Beach","Pence","Fundraiser",2016
"143",2016-09-08,"NC","Charlotte","Clinton","Rally/Speech",2016
"144",2016-09-08,"MO","Kansas City","Clinton","Speech to National Baptist Convention",2016
"145",2016-09-08,"NY","White Plains","Clinton","Press Conference",2016
"146",2016-09-08,"DC","Washington DC","Kaine","Fundraiser",2016
"147",2016-09-08,"OH","Cleveland","Trump","Speech at charter school",2016
"148",2016-09-08,"CA","Simi Valley","Pence","Rally/Speech at Reagan Library",2016
"149",2016-09-09,"NY","New York","Clinton","Press Conference",2016
"150",2016-09-09,"DC","Washington DC","Kaine","CBS ""This Morning""",2016
"151",2016-09-09,"AL","Birmingham","Kaine","Church Tour",2016
"152",2016-09-09,"VA","Norfolk","Kaine","Rally/Speech at ODU",2016
"153",2016-09-09,"DC","Washington DC","Trump","Speech to Values Voter Summit",2016
"154",2016-09-09,"FL","Pensacola","Trump","Rally/Speech",2016
"155",2016-09-09,"DC","Washington DC","Pence","Speech to Values Voter Summit",2016
"156",2016-09-10,"DC","Washington DC","Kaine","Keynote at Human Rights Campaign Dinner",2016
"157",2016-09-10,"VA","Paris","Pence","Speech to Liberty Farm Festival",2016
"158",2016-09-12,"OH","Dayton","Kaine","Rally/Speech",2016
"159",2016-09-12,"MD","Baltimore","Trump","Speech to National Guard Association",2016
"160",2016-09-12,"NC","Asheville","Trump","Rally/Speech",2016
"161",2016-09-13,"MI","Ann Arbor","Kaine","Rally/Speech",2016
"162",2016-09-13,"MN","Minneapolis","Kaine","Fundraiser",2016
"163",2016-09-13,"IA","Des Moines ","Trump","Rally/Speech",2016
"164",2016-09-13,"PA","Aston","Trump","Speech",2016
"165",2016-09-13,"DC","Washington DC","Pence","Press Conference",2016
"166",2016-09-14,"IN","Gary","Kaine","Speech to volunteers",2016
"167",2016-09-14,"IL","Chicago","Kaine","Fundraiser",2016
"168",2016-09-14,"MI","Flint","Trump","Speech to Bethel United Methodist Church",2016
"169",2016-09-14,"OH","Canton","Trump","Rally/Speech",2016
"170",2016-09-14,"PA","Scranton","Pence","Rally/Speech",2016
"171",2016-09-15,"NC","Greensboro","Clinton","Rally/Speech",2016
"172",2016-09-15,"DC","Washington DC","Clinton","Speech, Congressional Hispanic Caucus gala",2016
"173",2016-09-15,"NH","Portsmouth","Kaine","Panel discussion",2016
"174",2016-09-15,"NH","Exeter","Kaine","Rally/Speech",2016
"175",2016-09-15,"ME","Cape Elizabeth","Kaine","Fundraiser",2016
"176",2016-09-15,"NY","New York","Trump / Pence","Speeches to The Economic Club of NY",2016
"177",2016-09-15,"NY","New York","Trump","Tonight Show with Jimmy Fallon",2016
"178",2016-09-15,"NY","New York","Trump","The Dr. Oz Show",2016
"179",2016-09-15,"NH","Laconia","Trump","Rally/Speech",2016
"180",2016-09-16,"DC","Washington DC","Clinton","Speech to Black Women's Agenda Symposium",2016
"181",2016-09-16,"DC","Washington DC","Trump","Press Conference",2016
"182",2016-09-16,"FL","Miami","Trump","Rally/Speech",2016
"183",2016-09-17,"DC","Washington DC","Clinton","Speech to Congressional Black Caucus Foundation",2016
"184",2016-09-17,"TX","Houston","Trump","Speech to Remembrance Project",2016
"185",2016-09-17,"OK","Norman","Trump","Fundraiser",2016
"186",2016-09-17,"CO","Colorado Springs","Trump","Rally/Speech",2016
"187",2016-09-17,"FL","The Villages","Pence","Rally/Speech",2016
"188",2016-09-18,"FL","Jacksonville","Pence","Speech to First Baptist Church of Jacksonville",2016
"189",2016-09-19,"PA","Philadelphia","Clinton","Rally/Speech",2016
"190",2016-09-19,"NY","White Plains","Clinton","Press Conference",2016
"191",2016-09-19,"NY","New York","Clinton","Tonight Show with Jimmy Fallon",2016
"192",2016-09-19,"IA","Ames","Kaine","Rally/Speech",2016
"193",2016-09-19,"CA","Los Angeles","Kaine","Fundraiser",2016
"194",2016-09-19,"FL","Estero","Trump","Rally/Speech",2016
"195",2016-09-19,"NY","New York","Trump","The O'Reilly Factor interview",2016
"196",2016-09-19,"IA","Mason City","Pence","Town Hall",2016
"197",2016-09-19,"IA","Dubuque","Pence","Rally/Speech",2016
"198",2016-09-20,"CA","Los Angeles","Kaine","Fundraiser",2016
"199",2016-09-20,"NC","High Point","Trump","Rally/Speech",2016
"200",2016-09-20,"NC","Kenansville","Trump","Rally/Speech",2016
"201",2016-09-20,"VA","Norfolk","Pence","Round-table discussion",2016
"202",2016-09-20,"VA","Williamsburg","Pence","Rally/Speech",2016
"203",2016-09-21,"FL","Orlando","Clinton","Rally/Speech",2016
"204",2016-09-21,"CA","Atherton","Kaine","Fundraiser",2016
"205",2016-09-21,"OH","Cleveland Heights","Trump","Hannity Town Hall",2016
"206",2016-09-21,"OH","Cleveland Heights","Trump / Pence","Speech to New Spirit Revival Church",2016
"207",2016-09-21,"OH","Toledo","Trump / Pence","Rally/Speech",2016
"208",2016-09-21,"OH","Dayton","Trump","Small Business Roundtable",2016
"209",2016-09-22,"NV","Reno","Kaine","Rally/Speech",2016
"210",2016-09-22,"PA","Pittsburgh","Trump","Speech to Shale Insight Conference",2016
"211",2016-09-22,"PA","Chester Township","Trump","Rally/Speech",2016
"212",2016-09-22,"CO","Colorado Springs","Pence","Town Hall",2016
"213",2016-09-22,"AZ","Mesa","Pence","Speech to Living Word Bible Church",2016
"214",2016-09-23,"TX","Houston","Kaine","Speech to Communications Workers of America Local 6222",2016
"215",2016-09-23,"TX","Austin","Kaine","Speech to Supporters",2016
"216",2016-09-23,"OK","Oklahoma City","Kaine","Fundraiser",2016
"217",2016-09-24,"VA","Providence Forge","Kaine","Chickahominy Indian Tribe Fall Festival",2016
"218",2016-09-24,"VA","Roanoke","Trump","Rally/Speech",2016
"219",2016-09-24,"NC","Black Mountain","Pence","Speech to Home School Legal Defense Assoc.",2016
"220",2016-09-24,"IA","Des Moines ","Pence","Speech to IA Faith and Freedom Coalition",2016
"221",2016-09-25,"FL","Miami","Kaine","Rally/Speech",2016
"222",2016-09-26,"NY","Hempstead","Clinton","First Presidential Debate",2016
"223",2016-09-26,"FL","Lakeland","Kaine","Rally/Speech",2016
"224",2016-09-26,"FL","Orlando","Kaine","Round-table discussion",2016
"225",2016-09-26,"FL","Orlando","Kaine","Debate Watch Party",2016
"226",2016-09-26,"NY","Hempstead","Trump","First Presidential Debate",2016
"227",2016-09-26,"NH","Milford","Pence","Rally/Speech",2016
"228",2016-09-27,"NC","Raleigh","Clinton","Rally/Speech",2016
"229",2016-09-27,"FL","Orlando","Kaine","Speech to supporters",2016
"230",2016-09-27,"FL","Melbourne","Trump","Rally/Speech",2016
"231",2016-09-28,"NH","Durham","Clinton","Rally/Speech",2016
"232",2016-09-28,"VA","Alexandria","Kaine","Speech following John Warner endorsement",2016
"233",2016-09-28,"IL","Chicago","Trump","Speech to Polish American Congress",2016
"234",2016-09-28,"IL","Bolingbrook","Trump","Fundraiser",2016
"235",2016-09-28,"IA","Council Bluffs","Trump","Rally/Speech",2016
"236",2016-09-28,"WI","Waukesha","Trump","Rally/Speech",2016
"237",2016-09-28,"OH","Leetonia","Pence","Rally/Speech",2016
"238",2016-09-28,"NY","New York","Trump","The O'Reilly Factor interview",2016
"239",2016-09-29,"IA","Des Moines","Clinton","Rally/Speech",2016
"240",2016-09-29,"NH","Bedford","Trump","Rally/Speech",2016
"241",2016-09-29,"PA","York","Pence","Rally/Speech",2016
"242",2016-09-30,"FL","Fort Pierce","Clinton","Rally/Speech",2016
"243",2016-09-30,"FL","Coral Springs","Clinton","Rally/Speech",2016
"244",2016-09-30,"FL","Miami Beach","Clinton","Fundraiser",2016
"245",2016-09-30,"MI","Novi","Trump","Rally/Speech",2016
"246",2016-09-30,"IN","Fort Wayne","Pence","Rally/Speech",2016
"247",2016-10-01,"PA","Manheim","Trump","Rally/Speech",2016
"248",2016-10-02,"NC","Charlotte","Clinton","Speech to Little Rock AME Zion Church",2016
"249",2016-10-03,"OH","Toledo","Clinton","Rally/Speech",2016
"250",2016-10-03,"OH","Akron","Clinton","Voter Registration Event",2016
"251",2016-10-03,"VA","Herndon","Trump","Speech to Retired American Warriors PAC",2016
"252",2016-10-03,"CO","Pueblo","Trump","Rally/Speech",2016
"253",2016-10-03,"CO","Loveland","Trump","Rally/Speech",2016
"254",2016-10-03,"VA","Ashland","Pence","Rally/Speech",2016
"255",2016-10-04,"PA","Haverford","Clinton","Town Hall",2016
"256",2016-10-04,"PA","Harrisburg","Clinton","Organizing Event and Press Conference",2016
"257",2016-10-04,"VA","Farmville","Kaine","Vice Presidential Debate",2016
"258",2016-10-04,"AZ","Prescott Valley","Trump","Rally/Speech",2016
"259",2016-10-04,"VA","Farmville","Pence","Vice Presidential Debate",2016
"260",2016-10-05,"PA","Philadelphia","Kaine","Rally/Speech",2016
"261",2016-10-05,"NV","Henderson","Trump","Rally/Speech",2016
"262",2016-10-05,"NV","Reno","Trump","Rally/Speech",2016
"263",2016-10-05,"VA","Harrisonburg","Pence","Rally/Speech",2016
"264",2016-10-05,"PA","Grantville","Pence","Rally/Speech",2016
"265",2016-10-06,"PA","Pittsburgh","Kaine","Rally/Speech",2016
"266",2016-10-06,"NV","Las Vegas","Kaine","Voter Registration Event",2016
"267",2016-10-06,"NH","Sandown","Trump","Town Hall",2016
"268",2016-10-06,"PA","Gettysburg","Pence","Rally/Speech",2016
"269",2016-10-06,"PA","Johnstown","Pence","Rally/Speech",2016
"270",2016-10-07,"NV","Henderson","Kaine","Speech at senior living center",2016
"271",2016-10-07,"OH","Strongsville","Pence","Rally/Speech",2016
"272",2016-10-07,"OH","Rossford","Pence","Rally/Speech",2016
"273",2016-10-08,"AZ","Phoenix","Kaine","Fundraiser",2016
"274",2016-10-08,"CA","Los Angeles","Kaine","Fundraiser",2016
"275",2016-10-09,"MO","St. Louis","Clinton","Second Presidential Debate",2016
"276",2016-10-09,"CA","Sacramento","Kaine","Fundraiser",2016
"277",2016-10-09,"MO","St. Louis","Trump","Second Presidential Debate",2016
"278",2016-10-10,"MI","Detroit","Clinton","Rally/Speech",2016
"279",2016-10-10,"OH","Columbus","Clinton","Rally/Speech",2016
"280",2016-10-10,"CO","Denver","Kaine","Get Out the Vote Concert",2016
"281",2016-10-10,"PA","Ambridge","Trump","Rally/Speech",2016
"282",2016-10-10,"PA","Wilkes-Barre","Trump","Rally/Speech",2016
"283",2016-10-10,"NC","Charlotte","Pence","Town Hall",2016
"284",2016-10-10,"NC","Fletcher","Pence","Rally/Speech",2016
"285",2016-10-11,"FL","Miami","Clinton","Rally/Speech",2016
"286",2016-10-11,"TX","San Antonio","Trump","Fundraiser",2016
"287",2016-10-11,"TX","Dallas","Trump","Fundraiser",2016
"288",2016-10-11,"TX","Dallas","Trump","The O'Reilly Factor interview",2016
"289",2016-10-11,"FL","Panama City","Trump","Rally/Speech",2016
"290",2016-10-11,"IA","Newton","Pence","Town Hall",2016
"291",2016-10-11,"IA","Bettendorf","Pence","Speech to Ronald Reagan Dinner",2016
"292",2016-10-12,"CO","Pueblo","Clinton","Rally/Speech",2016
"293",2016-10-12,"NV","Las Vegas","Clinton","Rally/Speech",2016
"294",2016-10-12,"NC","Davidson","Kaine","Rally/Organizing Event",2016
"295",2016-10-12,"FL","Ocala","Trump","Rally/Speech",2016
"296",2016-10-12,"FL","Lakeland","Trump","Rally/Speech",2016
"297",2016-10-12,"VA","Lynchburg","Pence","Speech at Liberty University Convocation",2016
"298",2016-10-12,"VA","Salem","Pence","Town Hall",2016
"299",2016-10-12,"VA","Salem","Pence","The O'Reilly Factor interview",2016
"300",2016-10-12,"NC","Raleigh","Pence","Rally/Speech",2016
"301",2016-10-13,"CA","San Francisco","Clinton","Fundraiser",2016
"302",2016-10-13,"NY","New York","Kaine","""The View"" Interview",2016
"303",2016-10-13,"FL","West Palm Beach","Trump","Rally/Speech",2016
"304",2016-10-13,"OH","Columbus","Trump","Rally/Speech",2016
"305",2016-10-13,"OH","Cincinnati","Trump","Rally/Speech",2016
"306",2016-10-13,"PA","Reading","Pence","Fundraiser",2016
"307",2016-10-13,"PA","Orefield","Pence","Speech to RepublicanFest",2016
"308",2016-10-13,"PA","Bethlehem","Pence","Speech to Northampton County Republican Dinner",2016
"309",2016-10-14,"CA","Burbank","Clinton","The Ellen DeGeneres Show",2016
"310",2016-10-14,"WA","Seattle","Clinton","Fundraiser",2016
"311",2016-10-14,"NC","Greensboro","Trump","Rally/Speech",2016
"312",2016-10-14,"NC","Charlotte","Trump","Rally/Speech",2016
"313",2016-10-14,"FL","Pensacola","Pence","Rally/Speech",2016
"314",2016-10-14,"FL","Miami","Pence","Speech to Miami/Dade Republicans",2016
"315",2016-10-15,"FL","Miami","Kaine","Voter Registration Event",2016
"316",2016-10-15,"NH","Portsmouth","Trump","Rally/Speech",2016
"317",2016-10-15,"ME","Bangor","Trump","Rally/Speech",2016
"318",2016-10-15,"NJ","Edison","Trump","Speech at Republican Hindu Coalition event",2016
"319",2016-10-15,"FL","Tampa","Pence","Fundraiser",2016
"320",2016-10-16,"FL","Miami","Kaine","ABC ""This Week"" Interview",2016
"321",2016-10-16,"FL","Miami","Kaine","CBS ""Face the Natiion"" Interview",2016
"322",2016-10-16,"FL","Miami","Kaine","""Fox News Sunday"" Interview",2016
"323",2016-10-16,"FL","Miami","Kaine","Speech to Pnuema Church",2016
"324",2016-10-16,"FL","Palm Beach County","Kaine","Speech to The Faith Center church",2016
"325",2016-10-16,"VA","Leesburg","Kaine","Fundraiser",2016
"326",2016-10-16,"FL","Tampa","Pence","NBC ""Meet the Press"" Interview",2016
"327",2016-10-16,"FL","Tampa","Pence","CBS ""Face the Natiion"" Interview",2016
"328",2016-10-16,"FL","Tampa","Pence","""Fox News Sunday"" Interview",2016
"329",2016-10-17,"MD","Bethesda","Kaine","Fundraiser",2016
"330",2016-10-17,"WI","Green Bay","Trump","Rally/Speech",2016
"331",2016-10-17,"OH","Mason","Pence","Rally/Speech",2016
"332",2016-10-17,"OH","Columbus","Pence","Rally/Speech",2016
"333",2016-10-17,"MI","Shelby Township","Pence","Fundraiser",2016
"334",2016-10-18,"MI","Detroit","Kaine","Rally/Organizing Event",2016
"335",2016-10-18,"CO","Colorado Springs","Trump","Rally/Speech",2016
"336",2016-10-18,"CO","Grand Junction","Trump","Rally/Speech",2016
"337",2016-10-18,"NC","Wilmington","Pence","Rally/Speech",2016
"338",2016-10-18,"NC","Fayetteville","Pence","Rally/Speech",2016
"339",2016-10-19,"NV","Las Vegas","Clinton","Third Presidential Debate",2016
"340",2016-10-19,"OH","Upper Arlington","Kaine","Rally/Speech",2016
"341",2016-10-19,"OH","Springfield","Kaine","Rally/Speech",2016
"342",2016-10-19,"NC","Asheville","Kaine","Rally/Speech",2016
"343",2016-10-19,"NV","Las Vegas","Trump","Third Presidential Debate",2016
"344",2016-10-19,"CO","Durango","Pence","Rally/Speech",2016
"345",2016-10-20,"NC","Charlotte","Kaine","Rally/Speech",2016
"346",2016-10-20,"NC","Durham","Kaine","Rally/Speech",2016
"347",2016-10-20,"OH","Delaware","Trump","Rally/Speech",2016
"348",2016-10-20,"NV","Reno","Pence","Rally/Speech",2016
"349",2016-10-20,"NM","Albuquerque","Pence","Rally/Speech",2016
"350",2016-10-21,"OH","Cleveland","Clinton","Rally/Speech",2016
"351",2016-10-21,"PA","State College","Kaine","Rally/Speech",2016
"352",2016-10-21,"NC","Fletcher","Trump","Rally/Speech",2016
"353",2016-10-21,"PA","Johnstown","Trump","Rally/Speech",2016
"354",2016-10-21,"PA","Newtown","Trump","Rally/Speech",2016
"355",2016-10-21,"NH","Nashua","Pence","Rally/Speech",2016
"356",2016-10-21,"NH","Exeter","Pence","Rally/Town hall",2016
"357",2016-10-22,"PA","Pittsburgh","Clinton / Kaine","Rally/Speech",2016
"358",2016-10-22,"PA","Philadelphia","Clinton / Kaine","Rally/Speech",2016
"359",2016-10-22,"PA","Gettysburg","Trump","Speech",2016
"360",2016-10-22,"VA","Virginia Beach","Trump","Rally/Speech",2016
"361",2016-10-22,"OH","Cleveland","Trump / Pence","Rally/Speech",2016
"362",2016-10-22,"OH","Circleville","Pence","Speech at Crossroads Church",2016
"363",2016-10-23,"NC","Durham","Clinton","Speech to Union Baptist Church",2016
"364",2016-10-23,"NC","Raleigh","Clinton","Rally/Speech",2016
"365",2016-10-23,"NC","Charlotte","Clinton","Rally/Speech",2016
"366",2016-10-23,"FL","Gainesville","Kaine","Rally/Speech",2016
"367",2016-10-23,"FL","Orlando","Kaine","Rally/Speech",2016
"368",2016-10-23,"FL","Gainesville","Kaine","Meet The Press interview",2016
"369",2016-10-23,"FL","Naples","Trump","Rally/Speech",2016
"370",2016-10-24,"NH","Manchester","Clinton","Rally/Speech",2016
"371",2016-10-24,"FL","Miami","Kaine","Rally/Speech",2016
"372",2016-10-24,"FL","West Palm Beach","Kaine","Rally/Speech",2016
"373",2016-10-24,"FL","St. Augustine","Trump","Rally/Speech",2016
"374",2016-10-24,"FL","Tampa","Trump","Rally/Speech",2016
"375",2016-10-24,"NC","Salisbury","Pence","Rally/Speech",2016
"376",2016-10-24,"NC","Greensboro","Pence","Rally/Speech",2016
"377",2016-10-25,"FL","Coconut Creek","Clinton","Rally/Speech",2016
"378",2016-10-25,"FL","Pinecrest","Clinton","Fundraiser",2016
"379",2016-10-25,"CT","Middle Haddam","Kaine","Fundraiser",2016
"380",2016-10-25,"NY","New York","Kaine","Fundraiser",2016
