"","year","state","state_po","county_name","county_fips","candidate","party","candidatevotes","totalvotes","POPESTIMATE2020","turnout"
"26",2020,"ALABAMA","AL","CHAMBERS",1017,"OTHER","OTHER",166,15284,34651,0.441083951401114
"27",2020,"ALABAMA","AL","CHAMBERS",1017,"DONALD J TRUMP","REPUBLICAN",8753,15284,34651,0.441083951401114
"28",2020,"ALABAMA","AL","CHEROKEE",1019,"JOSEPH R BIDEN JR","DEMOCRAT",1624,12301,24969,0.492650887100004
"29",2020,"ALABAMA","AL","CHEROKEE",1019,"OTHER","OTHER",94,12301,24969,0.492650887100004
"30",2020,"ALABAMA","AL","CHEROKEE",1019,"DONALD J TRUMP","REPUBLICAN",10583,12301,24969,0.492650887100004
"31",2020,"ALABAMA","AL","CHILTON",1021,"JOSEPH R BIDEN JR","DEMOCRAT",3073,19310,45057,0.428568257984331
"32",2020,"ALABAMA","AL","CHILTON",1021,"OTHER","OTHER",152,19310,45057,0.428568257984331
"33",2020,"ALABAMA","AL","CHILTON",1021,"DONALD J TRUMP","REPUBLICAN",16085,19310,45057,0.428568257984331
"34",2020,"ALABAMA","AL","CHOCTAW",1023,"JOSEPH R BIDEN JR","DEMOCRAT",3127,7464,12626,0.5911610961508
"35",2020,"ALABAMA","AL","CHOCTAW",1023,"OTHER","OTHER",41,7464,12626,0.5911610961508
"36",2020,"ALABAMA","AL","CHOCTAW",1023,"DONALD J TRUMP","REPUBLICAN",4296,7464,12626,0.5911610961508
"37",2020,"ALABAMA","AL","CLARKE",1025,"JOSEPH R BIDEN JR","DEMOCRAT",5755,13135,22987,0.571409927350241
"38",2020,"ALABAMA","AL","CLARKE",1025,"OTHER","OTHER",56,13135,22987,0.571409927350241
"39",2020,"ALABAMA","AL","CLARKE",1025,"DONALD J TRUMP","REPUBLICAN",7324,13135,22987,0.571409927350241
"40",2020,"ALABAMA","AL","CLAY",1027,"JOSEPH R BIDEN JR","DEMOCRAT",1267,6930,14212,0.487616099071207
"41",2020,"ALABAMA","AL","CLAY",1027,"OTHER","OTHER",62,6930,14212,0.487616099071207
"42",2020,"ALABAMA","AL","CLAY",1027,"DONALD J TRUMP","REPUBLICAN",5601,6930,14212,0.487616099071207
"43",2020,"ALABAMA","AL","CLEBURNE",1029,"JOSEPH R BIDEN JR","DEMOCRAT",675,7227,15064,0.479753053637812
"44",2020,"ALABAMA","AL","CLEBURNE",1029,"OTHER","OTHER",68,7227,15064,0.479753053637812
"45",2020,"ALABAMA","AL","CLEBURNE",1029,"DONALD J TRUMP","REPUBLICAN",6484,7227,15064,0.479753053637812
"46",2020,"ALABAMA","AL","COFFEE",1031,"JOSEPH R BIDEN JR","DEMOCRAT",5076,22275,53549,0.415974154512689
"47",2020,"ALABAMA","AL","COFFEE",1031,"OTHER","OTHER",300,22275,53549,0.415974154512689
"48",2020,"ALABAMA","AL","COFFEE",1031,"DONALD J TRUMP","REPUBLICAN",16899,22275,53549,0.415974154512689
"49",2020,"ALABAMA","AL","COLBERT",1033,"JOSEPH R BIDEN JR","DEMOCRAT",8343,27886,57304,0.48663269579785
"50",2020,"ALABAMA","AL","COLBERT",1033,"OTHER","OTHER",340,27886,57304,0.48663269579785
"51",2020,"ALABAMA","AL","COLBERT",1033,"DONALD J TRUMP","REPUBLICAN",19203,27886,57304,0.48663269579785
"52",2020,"ALABAMA","AL","CONECUH",1035,"JOSEPH R BIDEN JR","DEMOCRAT",2966,6441,11554,0.557469274710057
"53",2020,"ALABAMA","AL","CONECUH",1035,"OTHER","OTHER",33,6441,11554,0.557469274710057
"54",2020,"ALABAMA","AL","CONECUH",1035,"DONALD J TRUMP","REPUBLICAN",3442,6441,11554,0.557469274710057
"55",2020,"ALABAMA","AL","COOSA",1037,"JOSEPH R BIDEN JR","DEMOCRAT",1796,5479,10335,0.530140299951621
"56",2020,"ALABAMA","AL","COOSA",1037,"OTHER","OTHER",52,5479,10335,0.530140299951621
"57",2020,"ALABAMA","AL","COOSA",1037,"DONALD J TRUMP","REPUBLICAN",3631,5479,10335,0.530140299951621
"58",2020,"ALABAMA","AL","COVINGTON",1039,"JOSEPH R BIDEN JR","DEMOCRAT",2721,17430,37506,0.464725643896976
"59",2020,"ALABAMA","AL","COVINGTON",1039,"OTHER","OTHER",123,17430,37506,0.464725643896976
"60",2020,"ALABAMA","AL","COVINGTON",1039,"DONALD J TRUMP","REPUBLICAN",14586,17430,37506,0.464725643896976
"61",2020,"ALABAMA","AL","CRENSHAW",1041,"JOSEPH R BIDEN JR","DEMOCRAT",1700,6617,13163,0.50269695358201
"62",2020,"ALABAMA","AL","CRENSHAW",1041,"OTHER","OTHER",53,6617,13163,0.50269695358201
"63",2020,"ALABAMA","AL","CRENSHAW",1041,"DONALD J TRUMP","REPUBLICAN",4864,6617,13163,0.50269695358201
"64",2020,"ALABAMA","AL","CULLMAN",1043,"JOSEPH R BIDEN JR","DEMOCRAT",4478,41851,88136,0.474845693019878
"65",2020,"ALABAMA","AL","CULLMAN",1043,"OTHER","OTHER",493,41851,88136,0.474845693019878
"66",2020,"ALABAMA","AL","CULLMAN",1043,"DONALD J TRUMP","REPUBLICAN",36880,41851,88136,0.474845693019878
"67",2020,"ALABAMA","AL","DALE",1045,"JOSEPH R BIDEN JR","DEMOCRAT",5170,19738,49257,0.400714619241935
"68",2020,"ALABAMA","AL","DALE",1045,"OTHER","OTHER",265,19738,49257,0.400714619241935
"69",2020,"ALABAMA","AL","DALE",1045,"DONALD J TRUMP","REPUBLICAN",14303,19738,49257,0.400714619241935
"70",2020,"ALABAMA","AL","DALLAS",1047,"JOSEPH R BIDEN JR","DEMOCRAT",12230,17864,38171,0.46799926645883
"71",2020,"ALABAMA","AL","DALLAS",1047,"OTHER","OTHER",110,17864,38171,0.46799926645883
"72",2020,"ALABAMA","AL","DALLAS",1047,"DONALD J TRUMP","REPUBLICAN",5524,17864,38171,0.46799926645883
"73",2020,"ALABAMA","AL","DEKALB",1049,"JOSEPH R BIDEN JR","DEMOCRAT",4281,29356,71659,0.409662429004033
"74",2020,"ALABAMA","AL","DEKALB",1049,"OTHER","OTHER",308,29356,71659,0.409662429004033
"75",2020,"ALABAMA","AL","DEKALB",1049,"DONALD J TRUMP","REPUBLICAN",24767,29356,71659,0.409662429004033
"76",2020,"ALABAMA","AL","ELMORE",1051,"JOSEPH R BIDEN JR","DEMOCRAT",10367,41030,87861,0.466987628185429
"77",2020,"ALABAMA","AL","ELMORE",1051,"OTHER","OTHER",499,41030,87861,0.466987628185429
"78",2020,"ALABAMA","AL","ELMORE",1051,"DONALD J TRUMP","REPUBLICAN",30164,41030,87861,0.466987628185429
"79",2020,"ALABAMA","AL","ESCAMBIA",1053,"JOSEPH R BIDEN JR","DEMOCRAT",4918,15910,36685,0.433692244786698
"80",2020,"ALABAMA","AL","ESCAMBIA",1053,"OTHER","OTHER",123,15910,36685,0.433692244786698
"81",2020,"ALABAMA","AL","ESCAMBIA",1053,"DONALD J TRUMP","REPUBLICAN",10869,15910,36685,0.433692244786698
"82",2020,"ALABAMA","AL","ETOWAH",1055,"JOSEPH R BIDEN JR","DEMOCRAT",11567,47728,103453,0.461349598368341
"83",2020,"ALABAMA","AL","ETOWAH",1055,"OTHER","OTHER",633,47728,103453,0.461349598368341
"84",2020,"ALABAMA","AL","ETOWAH",1055,"DONALD J TRUMP","REPUBLICAN",35528,47728,103453,0.461349598368341
"85",2020,"ALABAMA","AL","FAYETTE",1057,"JOSEPH R BIDEN JR","DEMOCRAT",1395,8766,16331,0.536770559059457
"86",2020,"ALABAMA","AL","FAYETTE",1057,"OTHER","OTHER",71,8766,16331,0.536770559059457
"87",2020,"ALABAMA","AL","FAYETTE",1057,"DONALD J TRUMP","REPUBLICAN",7300,8766,16331,0.536770559059457
"88",2020,"ALABAMA","AL","FRANKLIN",1059,"JOSEPH R BIDEN JR","DEMOCRAT",2086,12578,32078,0.392106739821685
"89",2020,"ALABAMA","AL","FRANKLIN",1059,"OTHER","OTHER",116,12578,32078,0.392106739821685
"90",2020,"ALABAMA","AL","FRANKLIN",1059,"DONALD J TRUMP","REPUBLICAN",10376,12578,32078,0.392106739821685
"91",2020,"ALABAMA","AL","GENEVA",1061,"JOSEPH R BIDEN JR","DEMOCRAT",1595,12545,26698,0.469885384673009
"92",2020,"ALABAMA","AL","GENEVA",1061,"OTHER","OTHER",102,12545,26698,0.469885384673009
"93",2020,"ALABAMA","AL","GENEVA",1061,"DONALD J TRUMP","REPUBLICAN",10848,12545,26698,0.469885384673009
"94",2020,"ALABAMA","AL","GREENE",1063,"JOSEPH R BIDEN JR","DEMOCRAT",3884,4775,7700,0.62012987012987
"95",2020,"ALABAMA","AL","GREENE",1063,"OTHER","OTHER",16,4775,7700,0.62012987012987
"96",2020,"ALABAMA","AL","GREENE",1063,"DONALD J TRUMP","REPUBLICAN",875,4775,7700,0.62012987012987
"97",2020,"ALABAMA","AL","HALE",1065,"JOSEPH R BIDEN JR","DEMOCRAT",4663,7900,14772,0.53479555916599
"98",2020,"ALABAMA","AL","HALE",1065,"OTHER","OTHER",45,7900,14772,0.53479555916599
"99",2020,"ALABAMA","AL","HALE",1065,"DONALD J TRUMP","REPUBLICAN",3192,7900,14772,0.53479555916599
"100",2020,"ALABAMA","AL","HENRY",1067,"JOSEPH R BIDEN JR","DEMOCRAT",2606,9298,17169,0.541557458209564
"101",2020,"ALABAMA","AL","HENRY",1067,"OTHER","OTHER",85,9298,17169,0.541557458209564
"102",2020,"ALABAMA","AL","HENRY",1067,"DONALD J TRUMP","REPUBLICAN",6607,9298,17169,0.541557458209564
"103",2020,"ALABAMA","AL","HOUSTON",1069,"JOSEPH R BIDEN JR","DEMOCRAT",12917,46173,107284,0.430381044703777
"104",2020,"ALABAMA","AL","HOUSTON",1069,"OTHER","OTHER",638,46173,107284,0.430381044703777
"105",2020,"ALABAMA","AL","HOUSTON",1069,"DONALD J TRUMP","REPUBLICAN",32618,46173,107284,0.430381044703777
"106",2020,"ALABAMA","AL","JACKSON",1071,"JOSEPH R BIDEN JR","DEMOCRAT",3717,23636,52545,0.449823960414882
"107",2020,"ALABAMA","AL","JACKSON",1071,"OTHER","OTHER",249,23636,52545,0.449823960414882
"108",2020,"ALABAMA","AL","JACKSON",1071,"DONALD J TRUMP","REPUBLICAN",19670,23636,52545,0.449823960414882
"109",2020,"ALABAMA","AL","JEFFERSON",1073,"JOSEPH R BIDEN JR","DEMOCRAT",181688,325848,674717,0.482940254951335
"110",2020,"ALABAMA","AL","JEFFERSON",1073,"OTHER","OTHER",5317,325848,674717,0.482940254951335
"111",2020,"ALABAMA","AL","JEFFERSON",1073,"DONALD J TRUMP","REPUBLICAN",138843,325848,674717,0.482940254951335
"112",2020,"ALABAMA","AL","LAMAR",1075,"JOSEPH R BIDEN JR","DEMOCRAT",978,7193,13953,0.515516376406508
"113",2020,"ALABAMA","AL","LAMAR",1075,"OTHER","OTHER",41,7193,13953,0.515516376406508
"114",2020,"ALABAMA","AL","LAMAR",1075,"DONALD J TRUMP","REPUBLICAN",6174,7193,13953,0.515516376406508
"115",2020,"ALABAMA","AL","LAUDERDALE",1077,"JOSEPH R BIDEN JR","DEMOCRAT",11915,44339,94025,0.471566072852965
"116",2020,"ALABAMA","AL","LAUDERDALE",1077,"OTHER","OTHER",703,44339,94025,0.471566072852965
"117",2020,"ALABAMA","AL","LAUDERDALE",1077,"DONALD J TRUMP","REPUBLICAN",31721,44339,94025,0.471566072852965
"118",2020,"ALABAMA","AL","LAWRENCE",1079,"JOSEPH R BIDEN JR","DEMOCRAT",3562,16031,33089,0.484481247544501
"119",2020,"ALABAMA","AL","LAWRENCE",1079,"OTHER","OTHER",147,16031,33089,0.484481247544501
"120",2020,"ALABAMA","AL","LAWRENCE",1079,"DONALD J TRUMP","REPUBLICAN",12322,16031,33089,0.484481247544501
"121",2020,"ALABAMA","AL","LEE",1081,"JOSEPH R BIDEN JR","DEMOCRAT",27860,71449,174754,0.408854732938874
"122",2020,"ALABAMA","AL","LEE",1081,"OTHER","OTHER",1368,71449,174754,0.408854732938874
"123",2020,"ALABAMA","AL","LEE",1081,"DONALD J TRUMP","REPUBLICAN",42221,71449,174754,0.408854732938874
"124",2020,"ALABAMA","AL","LIMESTONE",1083,"JOSEPH R BIDEN JR","DEMOCRAT",13672,49235,104203,0.472491195071159
"125",2020,"ALABAMA","AL","LIMESTONE",1083,"OTHER","OTHER",923,49235,104203,0.472491195071159
"126",2020,"ALABAMA","AL","LIMESTONE",1083,"DONALD J TRUMP","REPUBLICAN",34640,49235,104203,0.472491195071159
"127",2020,"ALABAMA","AL","LOWNDES",1085,"JOSEPH R BIDEN JR","DEMOCRAT",4972,6835,10285,0.66456003889159
"128",2020,"ALABAMA","AL","LOWNDES",1085,"OTHER","OTHER",27,6835,10285,0.66456003889159
"129",2020,"ALABAMA","AL","LOWNDES",1085,"DONALD J TRUMP","REPUBLICAN",1836,6835,10285,0.66456003889159
"130",2020,"ALABAMA","AL","MACON",1087,"JOSEPH R BIDEN JR","DEMOCRAT",7108,8723,19464,0.448160706946157
"131",2020,"ALABAMA","AL","MACON",1087,"OTHER","OTHER",74,8723,19464,0.448160706946157
"132",2020,"ALABAMA","AL","MACON",1087,"DONALD J TRUMP","REPUBLICAN",1541,8723,19464,0.448160706946157
"133",2020,"ALABAMA","AL","MADISON",1089,"JOSEPH R BIDEN JR","DEMOCRAT",87286,194767,390503,0.498759292502234
"134",2020,"ALABAMA","AL","MADISON",1089,"OTHER","OTHER",4701,194767,390503,0.498759292502234
"135",2020,"ALABAMA","AL","MADISON",1089,"DONALD J TRUMP","REPUBLICAN",102780,194767,390503,0.498759292502234
"136",2020,"ALABAMA","AL","MARENGO",1091,"JOSEPH R BIDEN JR","DEMOCRAT",5488,10900,19270,0.565646081992735
"137",2020,"ALABAMA","AL","MARENGO",1091,"OTHER","OTHER",69,10900,19270,0.565646081992735
"138",2020,"ALABAMA","AL","MARENGO",1091,"DONALD J TRUMP","REPUBLICAN",5343,10900,19270,0.565646081992735
"139",2020,"ALABAMA","AL","MARION",1093,"JOSEPH R BIDEN JR","DEMOCRAT",1463,13807,29176,0.473231423087469
"140",2020,"ALABAMA","AL","MARION",1093,"OTHER","OTHER",139,13807,29176,0.473231423087469
"141",2020,"ALABAMA","AL","MARION",1093,"DONALD J TRUMP","REPUBLICAN",12205,13807,29176,0.473231423087469
"142",2020,"ALABAMA","AL","MARSHALL",1095,"JOSEPH R BIDEN JR","DEMOCRAT",5943,39655,97702,0.405877054717406
"143",2020,"ALABAMA","AL","MARSHALL",1095,"OTHER","OTHER",521,39655,97702,0.405877054717406
"144",2020,"ALABAMA","AL","MARSHALL",1095,"DONALD J TRUMP","REPUBLICAN",33191,39655,97702,0.405877054717406
"145",2020,"ALABAMA","AL","MOBILE",1097,"JOSEPH R BIDEN JR","DEMOCRAT",79474,183164,414377,0.44202260260584
"146",2020,"ALABAMA","AL","MOBILE",1097,"OTHER","OTHER",2447,183164,414377,0.44202260260584
"147",2020,"ALABAMA","AL","MOBILE",1097,"DONALD J TRUMP","REPUBLICAN",101243,183164,414377,0.44202260260584
"148",2020,"ALABAMA","AL","MONROE",1099,"JOSEPH R BIDEN JR","DEMOCRAT",4455,10668,19706,0.541357962042018
"149",2020,"ALABAMA","AL","MONROE",1099,"OTHER","OTHER",66,10668,19706,0.541357962042018
"150",2020,"ALABAMA","AL","MONROE",1099,"DONALD J TRUMP","REPUBLICAN",6147,10668,19706,0.541357962042018
"151",2020,"ALABAMA","AL","MONTGOMERY",1101,"JOSEPH R BIDEN JR","DEMOCRAT",64529,99139,228342,0.434168922055513
"152",2020,"ALABAMA","AL","MONTGOMERY",1101,"OTHER","OTHER",1299,99139,228342,0.434168922055513
"153",2020,"ALABAMA","AL","MONTGOMERY",1101,"DONALD J TRUMP","REPUBLICAN",33311,99139,228342,0.434168922055513
"154",2020,"ALABAMA","AL","MORGAN",1103,"JOSEPH R BIDEN JR","DEMOCRAT",13234,53722,123288,0.435743949127247
"155",2020,"ALABAMA","AL","MORGAN",1103,"OTHER","OTHER",824,53722,123288,0.435743949127247
"156",2020,"ALABAMA","AL","MORGAN",1103,"DONALD J TRUMP","REPUBLICAN",39664,53722,123288,0.435743949127247
"157",2020,"ALABAMA","AL","PERRY",1105,"JOSEPH R BIDEN JR","DEMOCRAT",3860,5230,8458,0.61834949160558
"158",2020,"ALABAMA","AL","PERRY",1105,"OTHER","OTHER",31,5230,8458,0.61834949160558
"159",2020,"ALABAMA","AL","PERRY",1105,"DONALD J TRUMP","REPUBLICAN",1339,5230,8458,0.61834949160558
"160",2020,"ALABAMA","AL","PICKENS",1107,"JOSEPH R BIDEN JR","DEMOCRAT",4022,9668,18969,0.509673678106384
"161",2020,"ALABAMA","AL","PICKENS",1107,"OTHER","OTHER",52,9668,18969,0.509673678106384
"162",2020,"ALABAMA","AL","PICKENS",1107,"DONALD J TRUMP","REPUBLICAN",5594,9668,18969,0.509673678106384
"163",2020,"ALABAMA","AL","PIKE",1109,"JOSEPH R BIDEN JR","DEMOCRAT",5636,13841,32900,0.420699088145897
"164",2020,"ALABAMA","AL","PIKE",1109,"OTHER","OTHER",163,13841,32900,0.420699088145897
"165",2020,"ALABAMA","AL","PIKE",1109,"DONALD J TRUMP","REPUBLICAN",8042,13841,32900,0.420699088145897
"166",2020,"ALABAMA","AL","RANDOLPH",1111,"JOSEPH R BIDEN JR","DEMOCRAT",2203,10837,22086,0.490672824413656
"167",2020,"ALABAMA","AL","RANDOLPH",1111,"OTHER","OTHER",75,10837,22086,0.490672824413656
"168",2020,"ALABAMA","AL","RANDOLPH",1111,"DONALD J TRUMP","REPUBLICAN",8559,10837,22086,0.490672824413656
"169",2020,"ALABAMA","AL","RUSSELL",1113,"JOSEPH R BIDEN JR","DEMOCRAT",11228,21329,59258,0.359934523608627
"170",2020,"ALABAMA","AL","RUSSELL",1113,"OTHER","OTHER",237,21329,59258,0.359934523608627
"171",2020,"ALABAMA","AL","RUSSELL",1113,"DONALD J TRUMP","REPUBLICAN",9864,21329,59258,0.359934523608627
"172",2020,"ALABAMA","AL","ST. CLAIR",1115,"JOSEPH R BIDEN JR","DEMOCRAT",7744,44441,91657,0.484862039996945
"173",2020,"ALABAMA","AL","ST. CLAIR",1115,"OTHER","OTHER",531,44441,91657,0.484862039996945
"174",2020,"ALABAMA","AL","ST. CLAIR",1115,"DONALD J TRUMP","REPUBLICAN",36166,44441,91657,0.484862039996945
"175",2020,"ALABAMA","AL","SHELBY",1117,"JOSEPH R BIDEN JR","DEMOCRAT",33268,114950,223912,0.513371324448891
"176",2020,"ALABAMA","AL","SHELBY",1117,"OTHER","OTHER",1982,114950,223912,0.513371324448891
"177",2020,"ALABAMA","AL","SHELBY",1117,"DONALD J TRUMP","REPUBLICAN",79700,114950,223912,0.513371324448891
"178",2020,"ALABAMA","AL","SUMTER",1119,"JOSEPH R BIDEN JR","DEMOCRAT",4648,6291,12191,0.516036420310065
"179",2020,"ALABAMA","AL","SUMTER",1119,"OTHER","OTHER",45,6291,12191,0.516036420310065
"180",2020,"ALABAMA","AL","SUMTER",1119,"DONALD J TRUMP","REPUBLICAN",1598,6291,12191,0.516036420310065
"181",2020,"ALABAMA","AL","TALLADEGA",1121,"JOSEPH R BIDEN JR","DEMOCRAT",13138,35663,81575,0.437180508734294
"182",2020,"ALABAMA","AL","TALLADEGA",1121,"OTHER","OTHER",290,35663,81575,0.437180508734294
"183",2020,"ALABAMA","AL","TALLADEGA",1121,"DONALD J TRUMP","REPUBLICAN",22235,35663,81575,0.437180508734294
"184",2020,"ALABAMA","AL","TALLAPOOSA",1123,"JOSEPH R BIDEN JR","DEMOCRAT",5859,20991,41284,0.508453638213351
"185",2020,"ALABAMA","AL","TALLAPOOSA",1123,"OTHER","OTHER",169,20991,41284,0.508453638213351
"186",2020,"ALABAMA","AL","TALLAPOOSA",1123,"DONALD J TRUMP","REPUBLICAN",14963,20991,41284,0.508453638213351
"187",2020,"ALABAMA","AL","TUSCALOOSA",1125,"JOSEPH R BIDEN JR","DEMOCRAT",37765,90172,231547,0.38943281493606
"188",2020,"ALABAMA","AL","TUSCALOOSA",1125,"OTHER","OTHER",1290,90172,231547,0.38943281493606
"189",2020,"ALABAMA","AL","TUSCALOOSA",1125,"DONALD J TRUMP","REPUBLICAN",51117,90172,231547,0.38943281493606
"190",2020,"ALABAMA","AL","WALKER",1127,"JOSEPH R BIDEN JR","DEMOCRAT",4834,31170,65138,0.47852252141607
"191",2020,"ALABAMA","AL","WALKER",1127,"OTHER","OTHER",334,31170,65138,0.47852252141607
"192",2020,"ALABAMA","AL","WALKER",1127,"DONALD J TRUMP","REPUBLICAN",26002,31170,65138,0.47852252141607
"193",2020,"ALABAMA","AL","WASHINGTON",1129,"JOSEPH R BIDEN JR","DEMOCRAT",2258,8876,15329,0.579033205036206
"194",2020,"ALABAMA","AL","WASHINGTON",1129,"OTHER","OTHER",54,8876,15329,0.579033205036206
"195",2020,"ALABAMA","AL","WASHINGTON",1129,"DONALD J TRUMP","REPUBLICAN",6564,8876,15329,0.579033205036206
"196",2020,"ALABAMA","AL","WILCOX",1131,"JOSEPH R BIDEN JR","DEMOCRAT",4048,5903,10534,0.560375925574331
"197",2020,"ALABAMA","AL","WILCOX",1131,"OTHER","OTHER",22,5903,10534,0.560375925574331
"198",2020,"ALABAMA","AL","WILCOX",1131,"DONALD J TRUMP","REPUBLICAN",1833,5903,10534,0.560375925574331
"199",2020,"ALABAMA","AL","WINSTON",1133,"JOSEPH R BIDEN JR","DEMOCRAT",974,11284,23493,0.480313284808241
"200",2020,"ALABAMA","AL","WINSTON",1133,"OTHER","OTHER",115,11284,23493,0.480313284808241
"201",2020,"ALABAMA","AL","WINSTON",1133,"DONALD J TRUMP","REPUBLICAN",10195,11284,23493,0.480313284808241
"202",2020,"ARIZONA","AZ","APACHE",4001,"JOSEPH R BIDEN JR","DEMOCRAT",16460,35172,65913,0.533612489190296
"203",2020,"ARIZONA","AZ","APACHE",4001,"JOSEPH R BIDEN JR","DEMOCRAT",6539,35172,65913,0.533612489190296
"204",2020,"ARIZONA","AZ","APACHE",4001,"JOSEPH R BIDEN JR","DEMOCRAT",294,35172,65913,0.533612489190296
"205",2020,"ARIZONA","AZ","APACHE",4001,"OTHER","GREEN",0,35172,65913,0.533612489190296
"206",2020,"ARIZONA","AZ","APACHE",4001,"OTHER","GREEN",0,35172,65913,0.533612489190296
"207",2020,"ARIZONA","AZ","APACHE",4001,"OTHER","GREEN",0,35172,65913,0.533612489190296
"208",2020,"ARIZONA","AZ","APACHE",4001,"JO JORGENSEN","LIBERTARIAN",311,35172,65913,0.533612489190296
"209",2020,"ARIZONA","AZ","APACHE",4001,"JO JORGENSEN","LIBERTARIAN",122,35172,65913,0.533612489190296
"210",2020,"ARIZONA","AZ","APACHE",4001,"JO JORGENSEN","LIBERTARIAN",4,35172,65913,0.533612489190296
"211",2020,"ARIZONA","AZ","APACHE",4001,"OTHER","OTHER",0,35172,65913,0.533612489190296
"212",2020,"ARIZONA","AZ","APACHE",4001,"OTHER","OTHER",0,35172,65913,0.533612489190296
"213",2020,"ARIZONA","AZ","APACHE",4001,"OTHER","OTHER",0,35172,65913,0.533612489190296
"214",2020,"ARIZONA","AZ","APACHE",4001,"DONALD J TRUMP","REPUBLICAN",7262,35172,65913,0.533612489190296
"215",2020,"ARIZONA","AZ","APACHE",4001,"DONALD J TRUMP","REPUBLICAN",4053,35172,65913,0.533612489190296
"216",2020,"ARIZONA","AZ","APACHE",4001,"DONALD J TRUMP","REPUBLICAN",127,35172,65913,0.533612489190296
"217",2020,"ARIZONA","AZ","COCHISE",4003,"JOSEPH R BIDEN JR","DEMOCRAT",21563,60442,125527,0.481505970826993
"218",2020,"ARIZONA","AZ","COCHISE",4003,"JOSEPH R BIDEN JR","DEMOCRAT",1495,60442,125527,0.481505970826993
"219",2020,"ARIZONA","AZ","COCHISE",4003,"JOSEPH R BIDEN JR","DEMOCRAT",674,60442,125527,0.481505970826993
"220",2020,"ARIZONA","AZ","COCHISE",4003,"OTHER","GREEN",0,60442,125527,0.481505970826993
"221",2020,"ARIZONA","AZ","COCHISE",4003,"OTHER","GREEN",0,60442,125527,0.481505970826993
"222",2020,"ARIZONA","AZ","COCHISE",4003,"OTHER","GREEN",0,60442,125527,0.481505970826993
"223",2020,"ARIZONA","AZ","COCHISE",4003,"JO JORGENSEN","LIBERTARIAN",931,60442,125527,0.481505970826993
