date,state,city,candidate,Event.Type,year,latitude,longitude
2016-08-03,FL,Daytona Beach,Trump,Rally/Speech,2016,29.2108147,-81.0228331
2016-08-04,NV,Las Vegas,Clinton,Rally/Speech,2016,36.1672559,-115.148516
2016-08-04,ME,Portland,Trump,Rally/Speech,2016,43.6573605,-70.2586618
2016-08-04,VA,Virginia Beach,Pence,Rally/Speech,2016,36.8496579,-75.9760751
2016-08-04,VA,Norfolk,Pence,Rally/Speech,2016,36.8493695,-76.2899539
2016-08-05,MI,Grand Rapids,Kaine,Rally/Speech,2016,42.9632425,-85.6678639
2016-08-05,WI,Milwaukee,Kaine,Rally/Speech,2016,43.0386475,-87.9090751
2016-08-05,DC,Washington DC,Clinton,Speech,2016,38.8950368,-77.0365427
2016-08-05,IA,Des Moines,Trump / Pence,Rally/Speech,2016,41.5868654,-93.6249494
2016-08-05,WI,Green Bay,Trump / Pence,Rally/Speech,2016,44.5126379,-88.0125794
2016-08-06,NH,Windham,Trump,Rally/Speech,2016,42.8006441,-71.304229
2016-08-07,WI,Milwaukee,Kaine,Meet The Press Interview,2016,43.0386475,-87.9090751
2016-08-08,FL,St. Petersburg,Clinton,Rally/Speech,2016,27.7700475,-82.6359078
2016-08-08,FL,Kissimmee,Clinton,Rally/Speech,2016,28.2866972,-81.47125711173688
2016-08-08,MI,Detroit,Trump / Pence,Speech,2016,42.3315509,-83.046640300000007
2016-08-09,FL,Miami,Clinton,Facility Tour,2016,25.7741728,-80.19362
2016-08-09,TX,Austin,Kaine,Speech to volunteers,2016,30.2711286,-97.7436995
2016-08-09,NC,Wilmington,Trump,Rally/Speech,2016,34.2257282,-77.9447107
2016-08-09,NC,Fayetteville,Trump,Rally/Speech,2016,35.0525759,-78.878292
2016-08-09,PA,Lancaster,Pence,Rally/Speech,2016,40.03813,-76.3056686
2016-08-09,PA,Pittsburgh,Pence,Rally/Speech,2016,40.4416941,-79.9900861
2016-08-10,TX,Dallas/Fort Worth,Kaine,Fundraiser,2016,32.712747750000005,-96.93573639683864
2016-08-10,IA,Des Moines,Clinton,Rally/Speech,2016,41.5868654,-93.6249494
2016-08-10,VA,Abingdon,Trump,Rally/Speech,2016,36.7104018,-81.975249
2016-08-10,FL,Fort Lauderdale,Trump,Rally/Speech,2016,26.1223084,-80.1433786
2016-08-10,OH,Dayton,Pence,Rally/Speech,2016,39.7589478,-84.1916069
2016-08-10,OH,Cambridge,Pence,Rally/Speech,2016,40.031183,-81.5884561
2016-08-11,MI,Detroit,Clinton,Rally/Speech,2016,42.3315509,-83.046640300000007
2016-08-11,LA,New Orleans,Kaine,Speech to Progressive National Baptist Convention,2016,29.9759983,-90.0782127
2016-08-11,FL,Kissimmee,Trump,Rally/Speech,2016,28.2866972,-81.47125711173688
2016-08-11,WI,La Crosse,Pence,Rally/Speech,2016,43.8122836,-91.2514355
2016-08-11,WI,Milwaukee,Pence,Rally/Speech,2016,43.0386475,-87.9090751
2016-08-12,PA,Erie,Trump,Rally/Speech,2016,42.1294712,-80.0852695
2016-08-12,PA,Altoona,Trump,Rally/Speech,2016,40.518681,-78.394736
2016-08-13,NH,Manchester,Kaine,Rally/Speech,2016,42.9956397,-71.4547891
2016-08-13,CT,Fairfield,Trump,Rally/Speech,2016,41.1412078,-73.2637258
2016-08-15,NC,Asheville,Kaine,Rally/Speech,2016,35.595363,-82.5508407
2016-08-15,PA,Scranton,Clinton,Rally/Speech,2016,41.4086874,-75.6621294
2016-08-15,OH,Youngstown,Trump / Pence,Rally/Speech,2016,41.1035786,-80.6520161
2016-08-16,PA,Philadelphia,Clinton,Rally/voter registration event,2016,39.9527237,-75.1635262
2016-08-16,NC,Fayetteville,Kaine,Rally/Speech,2016,35.0525759,-78.878292
2016-08-16,WI,West Bend,Trump,Rally/Speech,2016,43.4252776,-88.1834277
2016-08-16,WI,Milwaukee,Trump,Town Hall (Fox News),2016,43.0386475,-87.9090751
2016-08-17,OH,Cleveland,Clinton,Rally/Speech,2016,41.4996574,-81.6936772
2016-08-17,IA,Cedar Rapids,Kaine,Rally/Speech,2016,41.9758872,-91.6704053
2016-08-17,NV,Las Vegas,Pence,Rally/Speech,2016,36.1672559,-115.148516
2016-08-18,NC,Charlotte,Trump,Rally/Speech,2016,35.2272086,-80.8430827
2016-08-18,NH,Manchester,Pence,Rally/Speech,2016,42.9956397,-71.4547891
2016-08-19,MI,Dimondale,Trump,Rally/Speech,2016,42.6455931,-84.648949
2016-08-20,VA,Fredericksburg,Trump,Rally/Speech,2016,38.3031837,-77.4605399
2016-08-22,CA,Los Angeles,Clinton,Jimmy Kimmel Live,2016,34.0536909,-118.242766
2016-08-22,NV,Las Vegas,Kaine,Rally/Speech,2016,36.1672559,-115.148516
2016-08-22,OH,Akron,Trump,Rally/Speech,2016,41.083064,-81.518485
2016-08-22,IA,Cedar Rapids,Pence,Rally/Speech,2016,41.9758872,-91.6704053
2016-08-23,CO,Lakewood,Kaine,Small Business Roundtable,2016,39.7085736,-105.0846694
2016-08-23,TX,Austin,Trump,Rally/Speech,2016,30.2711286,-97.7436995
2016-08-23,PA,King of Prussia,Pence,Facility Tour,2016,40.0908111,-75.3832484
2016-08-23,PA,Pipersville,Pence,Rally/Speech,2016,40.4260533,-75.1390969
2016-08-24,MS,Jackson,Trump,Rally/Speech,2016,32.2998686,-90.1830408
2016-08-24,FL,Tampa,Trump,Rally/Speech,2016,27.9477595,-82.458444
2016-08-24,NC,Charlotte,Pence,Rally/Speech,2016,35.2272086,-80.8430827
2016-08-24,NC,Wilmington,Pence,Rally/Speech,2016,34.2257282,-77.9447107
2016-08-25,NV,Reno,Clinton,Rally/Speech,2016,39.5261206,-119.8126581
2016-08-25,NY,New York,Kaine,Late Show with Stephen Colbert,2016,40.7127281,-74.0060152
2016-08-25,NH,Manchester,Trump,Rally/Speech,2016,42.9956397,-71.4547891
2016-08-26,NJ,Secaucus,Clinton,Morning Joe (MSNBC),2016,40.7899291,-74.0566735
2016-08-26,FL,Tallahassee,Kaine,Voter Registration Event,2016,30.4380832,-84.2809332
2016-08-27,FL,Pembroke Pines,Kaine,Rally/Speech,2016,26.0061943,-80.2872086
2016-08-27,IA,Des Moines,Trump,"Speech at Ernst ""Roast and Ride"" Fundraiser",2016,41.5868654,-93.6249494
2016-08-27,VA,Purcellville,Pence,Rally/Speech,2016,39.1366223,-77.7145945
2016-08-28,DC,Washington DC,Pence,State of the Union with Jake Tapper,2016,38.8950368,-77.0365427
2016-08-29,GA,Perry,Pence,Town hall,2016,32.4586695,-83.7319658
2016-08-29,GA,Atlanta,Pence,Rally/Speech,2016,33.7489924,-84.3902644
2016-08-30,PA,Erie,Kaine,Rally/Speech,2016,42.1294712,-80.0852695
2016-08-30,PA,Lancaster,Kaine,Rally/Speech,2016,40.03813,-76.3056686
2016-08-30,WA,Everett,Trump,Rally/Speech,2016,47.9793437,-122.2127011
2016-08-30,GA,Dalton,Pence,Town hall,2016,34.7691867,-84.9702475
2016-08-30,NC,Winston-Salem,Pence,Rally/Speech,2016,36.0998131,-80.2440518
2016-08-31,OH,Cincinnati,Clinton,American Legion National Convention,2016,39.1014537,-84.5124602
2016-08-31,PA,Bethlehem,Kaine,Rally/Speech,2016,40.6178915,-75.3786521
2016-08-31,AZ,Phoenix,Trump,Rally/Speech,2016,33.4484367,-112.074141
2016-08-31,FL,Sarasota,Pence,Rally/Town hall,2016,27.3365805,-82.5308545
2016-09-01,NH,Manchester,Kaine,Round-table at Manchester Community College,2016,42.9956397,-71.4547891
2016-09-01,OH,Cincinnati,Trump,American Legion National Convention,2016,39.1014537,-84.5124602
2016-09-01,OH,Wilmington,Trump,Rally/Speech,2016,39.4453393,-83.8285375
2016-09-01,UT,Salt Lake City,Pence,Fundraiser,2016,40.7596198,-111.886797
2016-09-01,ID,Boise,Pence,Fundraiser,2016,43.6166163,-116.200886
2016-09-03,MI,Detroit,Trump,Speech at Greater Faith Ministries,2016,42.3315509,-83.046640300000007
2016-09-04,NY,New York,Kaine,"ABC ""This Week"" Interview",2016,40.7127281,-74.0060152
2016-09-05,OH,Cleveland,Clinton / Kaine,Labor Day Festival/Speeches,2016,41.4996574,-81.6936772
2016-09-05,IL,Hampton,Clinton,Salute to Labor Picnic/Speech,2016,41.5561473,-90.4096858
2016-09-05,PA,Pittsburgh,Kaine,Rally/Speech,2016,40.4416941,-79.9900861
2016-09-05,OH,Cleveland,Trump / Pence,Round-table discussion,2016,41.4996574,-81.6936772
2016-09-05,OH,Canfield,Trump / Pence,Canfield County Fair / Speech,2016,41.025059,-80.760912
2016-09-06,FL,Tampa,Clinton,Rally/Speech,2016,27.9477595,-82.458444
2016-09-06,NC,Wilmington,Kaine,Rally/Speech,2016,34.2257282,-77.9447107
2016-09-06,VA,Virginia Beach,Trump,Rally/Speech,2016,36.8496579,-75.9760751
2016-09-06,NC,Greenville,Trump,Rally/Speech,2016,35.613224,-77.3724593
2016-09-06,MO,Springfield,Pence,Rally/Speech,2016,37.2081729,-93.2922715
2016-09-06,MO,Chesterfield,Pence,Rally/Speech,2016,38.661953,-90.5643258
2016-09-07,NY,New York,Clinton,NBC Commander in Chief Forum,2016,40.7127281,-74.0060152
2016-09-07,NY,New York,Trump,NBC Commander in Chief Forum,2016,40.7127281,-74.0060152
2016-09-07,PA,Philadelphia,Trump,Speech to the Union League,2016,39.9527237,-75.1635262
2016-09-07,CA,La Jolla,Pence,Fundraiser,2016,32.8401623,-117.2740777
2016-09-07,CA,Newport Beach,Pence,Fundraiser,2016,33.6170092,-117.9294401
2016-09-08,NC,Charlotte,Clinton,Rally/Speech,2016,35.2272086,-80.8430827
2016-09-08,MO,Kansas City,Clinton,Speech to National Baptist Convention,2016,39.100105,-94.5781416
2016-09-08,NY,White Plains,Clinton,Press Conference,2016,41.0339862,-73.7629097
2016-09-08,DC,Washington DC,Kaine,Fundraiser,2016,38.8950368,-77.0365427
2016-09-08,OH,Cleveland,Trump,Speech at charter school,2016,41.4996574,-81.6936772
2016-09-08,CA,Simi Valley,Pence,Rally/Speech at Reagan Library,2016,34.2677404,-118.7538071
2016-09-09,NY,New York,Clinton,Press Conference,2016,40.7127281,-74.0060152
2016-09-09,DC,Washington DC,Kaine,"CBS ""This Morning""",2016,38.8950368,-77.0365427
2016-09-09,AL,Birmingham,Kaine,Church Tour,2016,33.5206824,-86.8024326
2016-09-09,VA,Norfolk,Kaine,Rally/Speech at ODU,2016,36.8493695,-76.2899539
2016-09-09,DC,Washington DC,Trump,Speech to Values Voter Summit,2016,38.8950368,-77.0365427
2016-09-09,FL,Pensacola,Trump,Rally/Speech,2016,30.421309,-87.2169149
2016-09-09,DC,Washington DC,Pence,Speech to Values Voter Summit,2016,38.8950368,-77.0365427
2016-09-10,DC,Washington DC,Kaine,Keynote at Human Rights Campaign Dinner,2016,38.8950368,-77.0365427
2016-09-10,VA,Paris,Pence,Speech to Liberty Farm Festival,2016,38.9839316,-78.0015445
2016-09-12,OH,Dayton,Kaine,Rally/Speech,2016,39.7589478,-84.1916069
2016-09-12,MD,Baltimore,Trump,Speech to National Guard Association,2016,39.2908816,-76.610759
2016-09-12,NC,Asheville,Trump,Rally/Speech,2016,35.595363,-82.5508407
2016-09-13,MI,Ann Arbor,Kaine,Rally/Speech,2016,42.2813722,-83.7484616
2016-09-13,MN,Minneapolis,Kaine,Fundraiser,2016,44.9772995,-93.2654692
2016-09-13,IA,Des Moines,Trump,Rally/Speech,2016,41.5868654,-93.6249494
2016-09-13,PA,Aston,Trump,Speech,2016,42.7744772,1.6717942
2016-09-13,DC,Washington DC,Pence,Press Conference,2016,38.8950368,-77.0365427
2016-09-14,IN,Gary,Kaine,Speech to volunteers,2016,41.6020962,-87.3370646
2016-09-14,IL,Chicago,Kaine,Fundraiser,2016,41.8755616,-87.6244212
2016-09-14,MI,Flint,Trump,Speech to Bethel United Methodist Church,2016,43.0161693,-83.6900211
2016-09-14,OH,Canton,Trump,Rally/Speech,2016,40.7985464,-81.3749508
2016-09-14,PA,Scranton,Pence,Rally/Speech,2016,41.4086874,-75.6621294
2016-09-15,NC,Greensboro,Clinton,Rally/Speech,2016,36.0726355,-79.7919754
2016-09-15,DC,Washington DC,Clinton,"Speech, Congressional Hispanic Caucus gala",2016,38.8950368,-77.0365427
2016-09-15,NH,Portsmouth,Kaine,Panel discussion,2016,43.0764436,-70.7573936
2016-09-15,NH,Exeter,Kaine,Rally/Speech,2016,42.981477,-70.9478343
2016-09-15,ME,Cape Elizabeth,Kaine,Fundraiser,2016,43.5931434,-70.2289333
2016-09-15,NY,New York,Trump / Pence,Speeches to The Economic Club of NY,2016,40.7127281,-74.0060152
2016-09-15,NY,New York,Trump,Tonight Show with Jimmy Fallon,2016,40.7127281,-74.0060152
2016-09-15,NY,New York,Trump,The Dr. Oz Show,2016,40.7127281,-74.0060152
2016-09-15,NH,Laconia,Trump,Rally/Speech,2016,43.5278546,-71.470351
2016-09-16,DC,Washington DC,Clinton,Speech to Black Women's Agenda Symposium,2016,38.8950368,-77.0365427
2016-09-16,DC,Washington DC,Trump,Press Conference,2016,38.8950368,-77.0365427
2016-09-16,FL,Miami,Trump,Rally/Speech,2016,25.7741728,-80.19362
2016-09-17,DC,Washington DC,Clinton,Speech to Congressional Black Caucus Foundation,2016,38.8950368,-77.0365427
2016-09-17,TX,Houston,Trump,Speech to Remembrance Project,2016,29.7589382,-95.3676974
2016-09-17,OK,Norman,Trump,Fundraiser,2016,35.2225717,-97.4394816
2016-09-17,CO,Colorado Springs,Trump,Rally/Speech,2016,38.8339578,-104.825348
2016-09-17,FL,The Villages,Pence,Rally/Speech,2016,28.9269978,-82.0041758
2016-09-18,FL,Jacksonville,Pence,Speech to First Baptist Church of Jacksonville,2016,30.3321838,-81.655651
2016-09-19,PA,Philadelphia,Clinton,Rally/Speech,2016,39.9527237,-75.1635262
2016-09-19,NY,White Plains,Clinton,Press Conference,2016,41.0339862,-73.7629097
2016-09-19,NY,New York,Clinton,Tonight Show with Jimmy Fallon,2016,40.7127281,-74.0060152
2016-09-19,IA,Ames,Kaine,Rally/Speech,2016,42.0267567,-93.6170448
2016-09-19,CA,Los Angeles,Kaine,Fundraiser,2016,34.0536909,-118.242766
2016-09-19,FL,Estero,Trump,Rally/Speech,2016,26.4381474,-81.8067537
2016-09-19,NY,New York,Trump,The O'Reilly Factor interview,2016,40.7127281,-74.0060152
2016-09-19,IA,Mason City,Pence,Town Hall,2016,43.1524574,-93.2017941
2016-09-19,IA,Dubuque,Pence,Rally/Speech,2016,42.5006243,-90.6647985
2016-09-20,CA,Los Angeles,Kaine,Fundraiser,2016,34.0536909,-118.242766
2016-09-20,NC,High Point,Trump,Rally/Speech,2016,35.9556924,-80.0053176
2016-09-20,NC,Kenansville,Trump,Rally/Speech,2016,34.9623883,-77.9622069
2016-09-20,VA,Norfolk,Pence,Round-table discussion,2016,36.8493695,-76.2899539
2016-09-20,VA,Williamsburg,Pence,Rally/Speech,2016,37.2708788,-76.7074042
2016-09-21,FL,Orlando,Clinton,Rally/Speech,2016,28.5421109,-81.3790304
2016-09-21,CA,Atherton,Kaine,Fundraiser,2016,37.453773,-122.2058272
2016-09-21,OH,Cleveland Heights,Trump,Hannity Town Hall,2016,41.5200518,-81.556235
2016-09-21,OH,Cleveland Heights,Trump / Pence,Speech to New Spirit Revival Church,2016,41.5200518,-81.556235
2016-09-21,OH,Toledo,Trump / Pence,Rally/Speech,2016,41.6529143,-83.5378173
2016-09-21,OH,Dayton,Trump,Small Business Roundtable,2016,39.7589478,-84.1916069
2016-09-22,NV,Reno,Kaine,Rally/Speech,2016,39.5261206,-119.8126581
2016-09-22,PA,Pittsburgh,Trump,Speech to Shale Insight Conference,2016,40.4416941,-79.9900861
2016-09-22,PA,Chester Township,Trump,Rally/Speech,2016,39.8514464,-75.40286684006416
2016-09-22,CO,Colorado Springs,Pence,Town Hall,2016,38.8339578,-104.825348
2016-09-22,AZ,Mesa,Pence,Speech to Living Word Bible Church,2016,33.4151005,-111.831455
2016-09-23,TX,Houston,Kaine,Speech to Communications Workers of America Local 6222,2016,29.7589382,-95.3676974
2016-09-23,TX,Austin,Kaine,Speech to Supporters,2016,30.2711286,-97.7436995
2016-09-23,OK,Oklahoma City,Kaine,Fundraiser,2016,35.4729886,-97.5170536
2016-09-24,VA,Providence Forge,Kaine,Chickahominy Indian Tribe Fall Festival,2016,37.4424264,-77.0439583
2016-09-24,VA,Roanoke,Trump,Rally/Speech,2016,37.270973,-79.9414313
2016-09-24,NC,Black Mountain,Pence,Speech to Home School Legal Defense Assoc.,2016,35.6176544,-82.3205791
2016-09-24,IA,Des Moines,Pence,Speech to IA Faith and Freedom Coalition,2016,41.5868654,-93.6249494
2016-09-25,FL,Miami,Kaine,Rally/Speech,2016,25.7741728,-80.19362
2016-09-26,NY,Hempstead,Clinton,First Presidential Debate,2016,40.6736812,-73.6190736
2016-09-26,FL,Lakeland,Kaine,Rally/Speech,2016,28.0394654,-81.9498042
2016-09-26,FL,Orlando,Kaine,Round-table discussion,2016,28.5421109,-81.3790304
2016-09-26,FL,Orlando,Kaine,Debate Watch Party,2016,28.5421109,-81.3790304
2016-09-26,NY,Hempstead,Trump,First Presidential Debate,2016,40.6736812,-73.6190736
2016-09-26,NH,Milford,Pence,Rally/Speech,2016,42.8355775,-71.6495345
2016-09-27,NC,Raleigh,Clinton,Rally/Speech,2016,35.7803977,-78.6390989
2016-09-27,FL,Orlando,Kaine,Speech to supporters,2016,28.5421109,-81.3790304
2016-09-27,FL,Melbourne,Trump,Rally/Speech,2016,28.0785034,-80.6077908
2016-09-28,NH,Durham,Clinton,Rally/Speech,2016,43.134564,-70.927048
2016-09-28,VA,Alexandria,Kaine,Speech following John Warner endorsement,2016,38.8051095,-77.0470229
2016-09-28,IL,Chicago,Trump,Speech to Polish American Congress,2016,41.8755616,-87.6244212
2016-09-28,IL,Bolingbrook,Trump,Fundraiser,2016,41.7003302,-88.0717708
2016-09-28,IA,Council Bluffs,Trump,Rally/Speech,2016,41.258841,-95.8519484
2016-09-28,WI,Waukesha,Trump,Rally/Speech,2016,43.0116784,-88.2314813
2016-09-28,OH,Leetonia,Pence,Rally/Speech,2016,40.8772816,-80.7553556
2016-09-28,NY,New York,Trump,The O'Reilly Factor interview,2016,40.7127281,-74.0060152
2016-09-29,IA,Des Moines,Clinton,Rally/Speech,2016,41.5868654,-93.6249494
2016-09-29,NH,Bedford,Trump,Rally/Speech,2016,42.9464737,-71.5159015
2016-09-29,PA,York,Pence,Rally/Speech,2016,39.962493,-76.7276989
2016-09-30,FL,Fort Pierce,Clinton,Rally/Speech,2016,27.4467056,-80.3256056
2016-09-30,FL,Coral Springs,Clinton,Rally/Speech,2016,26.271192,-80.2706044
2016-09-30,FL,Miami Beach,Clinton,Fundraiser,2016,25.7929198,-80.1353006
2016-09-30,MI,Novi,Trump,Rally/Speech,2016,42.48059,-83.4754913
2016-09-30,IN,Fort Wayne,Pence,Rally/Speech,2016,41.0799898,-85.1386015
2016-10-01,PA,Manheim,Trump,Rally/Speech,2016,40.1637359,-76.3952429
2016-10-02,NC,Charlotte,Clinton,Speech to Little Rock AME Zion Church,2016,35.2272086,-80.8430827
2016-10-03,OH,Toledo,Clinton,Rally/Speech,2016,41.6529143,-83.5378173
2016-10-03,OH,Akron,Clinton,Voter Registration Event,2016,41.083064,-81.518485
2016-10-03,VA,Herndon,Trump,Speech to Retired American Warriors PAC,2016,38.9695316,-77.3859479
2016-10-03,CO,Pueblo,Trump,Rally/Speech,2016,38.263995,-104.6141867
2016-10-03,CO,Loveland,Trump,Rally/Speech,2016,40.3977612,-105.07498
2016-10-03,VA,Ashland,Pence,Rally/Speech,2016,37.7594012,-77.4806603
2016-10-04,PA,Haverford,Clinton,Town Hall,2016,40.0131672,-75.2943516
2016-10-04,PA,Harrisburg,Clinton,Organizing Event and Press Conference,2016,40.2663107,-76.8861122
2016-10-04,VA,Farmville,Kaine,Vice Presidential Debate,2016,37.3024713,-78.3923813
2016-10-04,AZ,Prescott Valley,Trump,Rally/Speech,2016,34.5950776,-112.3338634
2016-10-04,VA,Farmville,Pence,Vice Presidential Debate,2016,37.3024713,-78.3923813
2016-10-05,PA,Philadelphia,Kaine,Rally/Speech,2016,39.9527237,-75.1635262
2016-10-05,NV,Henderson,Trump,Rally/Speech,2016,36.0319843,-114.9822486
2016-10-05,NV,Reno,Trump,Rally/Speech,2016,39.5261206,-119.8126581
2016-10-05,VA,Harrisonburg,Pence,Rally/Speech,2016,38.4493315,-78.8688833
2016-10-05,PA,Grantville,Pence,Rally/Speech,2016,40.377867,-76.6463566
2016-10-06,PA,Pittsburgh,Kaine,Rally/Speech,2016,40.4416941,-79.9900861
2016-10-06,NV,Las Vegas,Kaine,Voter Registration Event,2016,36.1672559,-115.148516
2016-10-06,NH,Sandown,Trump,Town Hall,2016,42.928698,-71.1870053
2016-10-06,PA,Gettysburg,Pence,Rally/Speech,2016,39.8308973,-77.231012
2016-10-06,PA,Johnstown,Pence,Rally/Speech,2016,40.3267407,-78.9219698
2016-10-07,NV,Henderson,Kaine,Speech at senior living center,2016,36.0319843,-114.9822486
2016-10-07,OH,Strongsville,Pence,Rally/Speech,2016,41.3144733,-81.83511
2016-10-07,OH,Rossford,Pence,Rally/Speech,2016,41.6097726,-83.5643782
2016-10-08,AZ,Phoenix,Kaine,Fundraiser,2016,33.4484367,-112.074141
2016-10-08,CA,Los Angeles,Kaine,Fundraiser,2016,34.0536909,-118.242766
2016-10-09,MO,St. Louis,Clinton,Second Presidential Debate,2016,38.6280278,-90.1910154
2016-10-09,CA,Sacramento,Kaine,Fundraiser,2016,38.5810606,-121.493895
2016-10-09,MO,St. Louis,Trump,Second Presidential Debate,2016,38.6280278,-90.1910154
2016-10-10,MI,Detroit,Clinton,Rally/Speech,2016,42.3315509,-83.046640300000007
2016-10-10,OH,Columbus,Clinton,Rally/Speech,2016,39.9622601,-83.0007065
2016-10-10,CO,Denver,Kaine,Get Out the Vote Concert,2016,39.7392364,-104.984862
2016-10-10,PA,Ambridge,Trump,Rally/Speech,2016,40.586438,-80.2273615
2016-10-10,PA,Wilkes-Barre,Trump,Rally/Speech,2016,41.2464824,-75.8817316
2016-10-10,NC,Charlotte,Pence,Town Hall,2016,35.2272086,-80.8430827
2016-10-10,NC,Fletcher,Pence,Rally/Speech,2016,35.4309336,-82.5011239
2016-10-11,FL,Miami,Clinton,Rally/Speech,2016,25.7741728,-80.19362
2016-10-11,TX,San Antonio,Trump,Fundraiser,2016,29.4246002,-98.4951405
2016-10-11,TX,Dallas,Trump,Fundraiser,2016,32.7762719,-96.7968559
2016-10-11,TX,Dallas,Trump,The O'Reilly Factor interview,2016,32.7762719,-96.7968559
2016-10-11,FL,Panama City,Trump,Rally/Speech,2016,30.1586518,-85.6602936
2016-10-11,IA,Newton,Pence,Town Hall,2016,41.6997139,-93.0538852
2016-10-11,IA,Bettendorf,Pence,Speech to Ronald Reagan Dinner,2016,41.5253792,-90.5098639
2016-10-12,CO,Pueblo,Clinton,Rally/Speech,2016,38.263995,-104.6141867
2016-10-12,NV,Las Vegas,Clinton,Rally/Speech,2016,36.1672559,-115.148516
2016-10-12,NC,Davidson,Kaine,Rally/Organizing Event,2016,35.4992614,-80.8485218
2016-10-12,FL,Ocala,Trump,Rally/Speech,2016,29.1871986,-82.1400923
2016-10-12,FL,Lakeland,Trump,Rally/Speech,2016,28.0394654,-81.9498042
2016-10-12,VA,Lynchburg,Pence,Speech at Liberty University Convocation,2016,37.4137536,-79.1422464
2016-10-12,VA,Salem,Pence,Town Hall,2016,37.293198,-80.0556773
2016-10-12,VA,Salem,Pence,The O'Reilly Factor interview,2016,37.293198,-80.0556773
2016-10-12,NC,Raleigh,Pence,Rally/Speech,2016,35.7803977,-78.6390989
2016-10-13,CA,San Francisco,Clinton,Fundraiser,2016,37.7792588,-122.4193286
2016-10-13,NY,New York,Kaine,"""The View"" Interview",2016,40.7127281,-74.0060152
2016-10-13,FL,West Palm Beach,Trump,Rally/Speech,2016,26.715364,-80.0532942
2016-10-13,OH,Columbus,Trump,Rally/Speech,2016,39.9622601,-83.0007065
2016-10-13,OH,Cincinnati,Trump,Rally/Speech,2016,39.1014537,-84.5124602
2016-10-13,PA,Reading,Pence,Fundraiser,2016,40.335345,-75.9279495
2016-10-13,PA,Orefield,Pence,Speech to RepublicanFest,2016,40.6348182,-75.5843529
